DADCA-lkh-cutted;50;8;7.00883%;71;259200;13000;8419MiliSegs;26MiliSegs;4_TSP_thread;255015;177580;5168;164;144816;74636;2.704025801135499;9.390689314195848;-1;map_1.txt
DADCA-lkh-cutted;50;2;2.94113%;71;259200;13000;6728MiliSegs;48MiliSegs;4_TSP_thread;255495;247575;2387;110;69872;74636;1.13469388241122;3.9406272351276623;-1;map_1.txt
DADCA-lkh-cutted;50;4;4.68318%;71;259200;13000;8307MiliSegs;26MiliSegs;4_TSP_thread;255715;229815;13371;110;110793;74636;1.8067820263679337;6.274691854260256;-1;map_1.txt
DADCA-lkh-cutted;50;6;5.16215%;71;259200;13000;9106MiliSegs;70MiliSegs;4_TSP_thread;256300;213345;9456;164;120928;74636;1.9915712877229066;6.916438150192634;-1;map_1.txt
DADCA-lkh-cutted;50;10;7.22091%;71;259200;13000;12226MiliSegs;82MiliSegs;4_TSP_thread;254710;156240;12266;164;171598;74636;2.7858450979271447;9.674835861818908;-1;map_1.txt
DADCA-lkh-cutted;50;12;9.97998%;71;259200;13000;13312MiliSegs;46MiliSegs;4_TSP_thread;253935;165055;7807;165;160872;74636;3.8502997113625987;13.371532305927243;-1;map_1.txt
DADCA-lkh-cutted;50;14;12.20660%;71;259200;13000;15264MiliSegs;24MiliSegs;4_TSP_thread;251710;159145;5595;165;191655;74636;4.709335348079563;16.354838445552048;-1;map_1.txt
DADCA-lkh-cutted;50;16;14.18164%;71;259200;13000;16817MiliSegs;25MiliSegs;4_TSP_thread;251550;142725;7932;164;154372;74636;5.471310108977291;19.001066244800285;-1;map_1.txt
TSPConcorde;50;8;8.05621%;71;259200;13000;8393MiliSegs;104MiliSegs;4_TSP_thread;239575;237400;2060;200;195248;73838;3.1081062576207907;10.91065768270144;-1;map_2.txt
TSPConcorde;50;2;2.93503%;71;259200;13000;6685MiliSegs;52MiliSegs;4_TSP_thread;252095;250965;2178;200;70999;73838;1.1323421543971954;3.974959863752445;-1;map_2.txt
TSPConcorde;50;4;5.10910%;71;259200;13000;7405MiliSegs;75MiliSegs;4_TSP_thread;246885;244960;2159;200;123365;73838;1.971105300259106;6.919343614766926;-1;map_2.txt
