Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData
NotSoNaiveOrderedMobility;20;2;3.36490;10;3750000;3000;39;4;3626460;3620800
NotSoNaiveOrderedMobility;20;4;5.72057;10;3750000;3000;43;4;3546485;3404960
NotSoNaiveOrderedMobility;20;8;10.41805;10;3750000;3000;50;4;3369190;3353750
NotSoNaiveOrderedMobility;20;16;24.09987;10;3750000;3000;72;4;2863355;2829230
ZigZagOverNSNMobility;20;2;2.77455;10;3750000;3000;41;4;3650710;3604855
ZigZagOverNSNMobility;20;4;6.58007;10;3750000;3000;45;4;3508050;3497555
ZigZagOverNSNMobility;20;8;11.01885;10;3750000;3000;52;4;3345360;3328795
ZigZagOverNSNMobility;20;16;26.88543;10;3750000;3000;71;4;2765145;2724820
NotSoNaiveOrderedMobility;20;2;3.28733;10;3750000;3000;39;4;3628820;3623055
NotSoNaiveOrderedMobility;20;4;5.75075;10;3750000;3000;43;4;3545230;3415805
NotSoNaiveOrderedMobility;20;8;10.31897;10;3750000;3000;53;4;3370240;3354680
NotSoNaiveOrderedMobility;20;16;20.72063;10;3750000;3000;70;4;2992360;2961020
ZigZagOverNSNMobility;20;2;2.75765;10;3750000;3000;40;4;3652585;3608080
ZigZagOverNSNMobility;20;4;5.87114;10;3750000;3000;45;4;3540800;3394450
ZigZagOverNSNMobility;20;8;11.43495;10;3750000;3000;54;4;3329705;3311735
ZigZagOverNSNMobility;20;16;23.82677;10;3750000;3000;68;4;2885485;2701355
NotSoNaiveOrderedMobility;20;2;2.57777;10;3750000;3000;38;4;3658365;3594165
NotSoNaiveOrderedMobility;20;4;5.75391;10;3750000;3000;40;4;3545020;3416730
NotSoNaiveOrderedMobility;20;8;13.42145;10;3750000;3000;49;4;3256905;3237920
NotSoNaiveOrderedMobility;20;16;24.08551;10;3750000;3000;73;4;2892265;2562295
ZigZagOverNSNMobility;20;2;3.27183;10;3750000;3000;39;4;3629555;3623705
ZigZagOverNSNMobility;20;4;6.52932;10;3750000;3000;44;4;3509150;3498480
ZigZagOverNSNMobility;20;8;12.38531;10;3750000;3000;54;4;3293415;3275375
ZigZagOverNSNMobility;20;16;23.60902;10;3750000;3000;71;4;2903320;2467895
NotSoNaiveOrderedMobility;20;2;3.04773;10;3750000;3000;38;4;3638525;3633485
NotSoNaiveOrderedMobility;20;4;5.46455;10;3750000;3000;44;4;3549890;3540625
NotSoNaiveOrderedMobility;20;8;14.93445;10;3750000;3000;49;4;3201545;3179015
NotSoNaiveOrderedMobility;20;16;21.03486;10;3750000;3000;71;4;2979705;2948420
ZigZagOverNSNMobility;20;2;2.64907;10;3750000;3000;42;4;3655935;3600530
ZigZagOverNSNMobility;20;4;6.03845;10;3750000;3000;45;4;3527520;3518175
ZigZagOverNSNMobility;20;8;12.77096;10;3750000;3000;51;4;3281140;3262695
ZigZagOverNSNMobility;20;16;22.16329;10;3750000;3000;72;4;2935390;2904485
NotSoNaiveOrderedMobility;20;2;2.64173;10;3750000;3000;39;4;3656100;3596990
NotSoNaiveOrderedMobility;20;4;6.20447;10;3750000;3000;41;4;3522705;3512990
NotSoNaiveOrderedMobility;20;8;11.73299;10;3750000;3000;49;4;3318935;3301195
NotSoNaiveOrderedMobility;20;16;23.10555;10;3750000;3000;75;4;2922160;2406330
ZigZagOverNSNMobility;20;2;2.97671;10;3750000;3000;41;4;3641480;3636610
ZigZagOverNSNMobility;20;4;5.46423;10;3750000;3000;44;4;3559830;3412570
ZigZagOverNSNMobility;20;8;11.17743;10;3750000;3000;53;4;3339285;3323085
ZigZagOverNSNMobility;20;16;22.73347;10;3750000;3000;71;4;2950090;2595925
NotSoNaiveOrderedMobility;20;2;3.13585;10;3750000;3000;39;4;3634745;3629665
NotSoNaiveOrderedMobility;20;4;5.01671;10;3750000;3000;44;4;3569425;3469080
NotSoNaiveOrderedMobility;20;8;10.80199;10;3750000;3000;50;4;3354520;3337580
NotSoNaiveOrderedMobility;20;16;25.58237;10;3750000;3000;72;4;2820100;2591030
ZigZagOverNSNMobility;20;2;3.26991;10;3750000;3000;39;4;3630535;3624845
ZigZagOverNSNMobility;20;4;5.63671;10;3750000;3000;45;4;3543220;3534365
ZigZagOverNSNMobility;20;8;11.00789;10;3750000;3000;53;4;3347225;3329195
ZigZagOverNSNMobility;20;16;21.92055;10;3750000;3000;73;4;2945215;2911500
NotSoNaiveOrderedMobility;20;2;3.36443;10;3750000;3000;39;4;3626730;3620820
NotSoNaiveOrderedMobility;20;4;5.35107;10;3750000;3000;43;4;3554265;3545830
NotSoNaiveOrderedMobility;20;8;12.23495;10;3750000;3000;52;4;3302465;3282795
NotSoNaiveOrderedMobility;20;16;24.28479;10;3750000;3000;73;4;2855190;2820065
ZigZagOverNSNMobility;20;2;2.95075;10;3750000;3000;38;4;3642115;3636810
ZigZagOverNSNMobility;20;4;6.09095;10;3750000;3000;44;4;3525905;3515615
ZigZagOverNSNMobility;20;8;11.38705;10;3750000;3000;51;4;3342455;3130220
ZigZagOverNSNMobility;20;16;23.50734;10;3750000;3000;71;4;2916280;2343565
NotSoNaiveOrderedMobility;20;2;2.87828;10;3750000;3000;41;4;3643805;3638860
NotSoNaiveOrderedMobility;20;4;5.83302;10;3750000;3000;44;4;3535805;3526450
NotSoNaiveOrderedMobility;20;8;12.47923;10;3750000;3000;49;4;3292955;3274280
NotSoNaiveOrderedMobility;20;16;26.04471;10;3750000;3000;74;4;2789815;2752595
ZigZagOverNSNMobility;20;2;3.14013;10;3750000;3000;40;4;3634105;3629070
ZigZagOverNSNMobility;20;4;5.48057;10;3750000;3000;43;4;3552690;3470465
ZigZagOverNSNMobility;20;8;9.52912;10;3750000;3000;52;4;3398070;3384895
ZigZagOverNSNMobility;20;16;20.98894;10;3750000;3000;71;4;3002035;2793570
NotSoNaiveOrderedMobility;20;2;3.40156;10;3750000;3000;41;4;3625425;3619490
NotSoNaiveOrderedMobility;20;4;5.56671;10;3750000;3000;42;4;3546820;3537635
NotSoNaiveOrderedMobility;20;8;14.83879;10;3750000;3000;52;4;3202660;3180785
NotSoNaiveOrderedMobility;20;16;22.80274;10;3750000;3000;72;4;2908985;2877155
ZigZagOverNSNMobility;20;2;2.60649;10;3750000;3000;37;4;3654055;3649645
ZigZagOverNSNMobility;20;4;7.34262;10;3750000;3000;45;4;3486165;3366610
ZigZagOverNSNMobility;20;8;11.89285;10;3750000;3000;52;4;3309430;3291845
ZigZagOverNSNMobility;20;16;20.68979;10;3750000;3000;71;4;3016825;2547010
NotSoNaiveOrderedMobility;20;2;3.16586;10;3750000;3000;38;4;3633965;3627750
NotSoNaiveOrderedMobility;20;4;6.42024;10;3750000;3000;44;4;3514210;3504465
NotSoNaiveOrderedMobility;20;8;13.29417;10;3750000;3000;50;4;3262290;3241895
NotSoNaiveOrderedMobility;20;16;26.19139;10;3750000;3000;69;4;2786600;2748295
ZigZagOverNSNMobility;20;2;3.42413;10;3750000;3000;40;4;3624650;3618515
ZigZagOverNSNMobility;20;4;6.73129;10;3750000;3000;42;4;3502325;3491990
ZigZagOverNSNMobility;20;8;11.34965;10;3750000;3000;50;4;3344260;3104910
ZigZagOverNSNMobility;20;16;24.73796;10;3750000;3000;72;4;2841735;2805285
NotSoNaiveOrderedMobility;20;2;2.66953;10;3750000;3000;40;4;3654460;3607290
NotSoNaiveOrderedMobility;20;4;5.60814;10;3750000;3000;43;4;3556820;3443525
NotSoNaiveOrderedMobility;20;8;12.24127;10;3750000;3000;51;4;3299590;3281130
NotSoNaiveOrderedMobility;20;16;24.80121;10;3750000;3000;73;4;2830535;2796800
ZigZagOverNSNMobility;20;2;3.44045;10;3750000;3000;38;4;3623755;3617370
ZigZagOverNSNMobility;20;4;6.50351;10;3750000;3000;44;4;3511780;3501890
ZigZagOverNSNMobility;20;8;12.55725;10;3750000;3000;52;4;3290830;3272065
ZigZagOverNSNMobility;20;16;25.87245;10;3750000;3000;67;4;2837185;2391075
TSPbasedMobility;20;2;6.46503;10;1000000;1000;67;4;943675;852080
TSPbasedMobility;20;2;6.46105;10;1000000;1000;262;4;936920;933770
TSPbasedMobility;20;2;6.30560;10;1000000;1000;21;4;938955;935785
TSPbasedMobility;20;2;7.43315;10;1000000;1000;61;4;932250;860410
TSPbasedMobility;20;2;5.02902;10;1000000;1000;56;4;952590;920250
TSPbasedMobility;20;2;6.23037;10;1000000;1000;15;4;939545;936665
TSPbasedMobility;20;2;6.78612;10;1000000;1000;27;4;934080;930780
TSPbasedMobility;20;2;6.17062;10;1000000;1000;148;4;939825;936645
TSPbasedMobility;20;2;6.65242;10;1000000;1000;19;4;935110;932055
TSPbasedMobility;20;2;7.19640;10;1000000;1000;20;4;930345;926480
TSPbasedMobility;20;2;6.41070;10;1000000;1000;161;4;937555;934440
TSPbasedMobility;20;2;6.44208;10;1000000;1000;34;4;937530;933730
TSPbasedMobility;20;2;6.66470;10;1000000;1000;39;4;935070;932020
TSPbasedMobility;20;2;6.04708;10;1000000;1000;543;4;940940;937595
TSPbasedMobility;20;2;6.75073;10;1000000;1000;56;4;933905;930805
TSPbasedMobility;20;2;6.40675;10;1000000;1000;29;4;939315;900480
TSPbasedMobility;20;2;6.73925;10;1000000;1000;46;4;937520;895975
TSPbasedMobility;20;2;7.36598;10;1000000;1000;91;4;928280;924915
TSPbasedMobility;20;2;6.51565;10;1000000;1000;421;4;936215;933050
TSPbasedMobility;20;2;6.26825;10;1000000;1000;138;4;938815;935655
TSPbasedMobility;20;2;5.03585;10;1000000;1000;30;4;953235;926700
TSPbasedMobility;20;2;7.45475;10;1000000;1000;281;4;927885;924110
TSPbasedMobility;20;2;7.23095;10;1000000;1000;171;4;929210;925550
TSPbasedMobility;20;2;6.28203;10;1000000;1000;48;4;938895;935930
TSPbasedMobility;20;2;5.63567;10;1000000;1000;116;4;946935;912950
TSPbasedMobility;20;2;6.01892;10;1000000;1000;73;4;941995;921080
TSPbasedMobility;20;2;6.80452;10;1000000;1000;19;4;933780;930295
TSPbasedMobility;20;2;6.19010;10;1000000;1000;19;4;941715;902380
TSPbasedMobility;20;2;6.73577;10;1000000;1000;35;4;934435;930450
TSPbasedMobility;20;2;6.19152;10;1000000;1000;63;4;939910;936945
TSPbasedMobility;20;2;6.92483;10;1000000;1000;56;4;932700;929005
TSPbasedMobility;20;2;6.73015;10;1000000;1000;20;4;934265;930210
TSPbasedMobility;20;2;6.60283;10;1000000;1000;115;4;935245;932120
TSPbasedMobility;20;2;6.35685;10;1000000;1000;1473;4;938025;934915
TSPbasedMobility;20;2;6.11060;10;1000000;1000;17;4;940240;937155
TSPbasedMobility;20;2;6.18213;10;1000000;1000;33;4;940355;936790
TSPbasedMobility;20;2;7.02493;10;1000000;1000;35;4;931665;927595
TSPbasedMobility;20;2;7.07492;10;1000000;1000;15;4;931195;927035
TSPbasedMobility;20;2;7.08555;10;1000000;1000;20;4;931955;905840
TSPbasedMobility;20;2;5.85500;10;1000000;1000;33;4;942770;939875
TSPbasedMobility;20;2;6.79677;10;1000000;1000;43;4;934240;930615
TSPbasedMobility;20;2;6.92900;10;1000000;1000;101;4;934885;907600
TSPbasedMobility;20;2;6.20865;10;1000000;1000;93;4;939910;936210
TSPbasedMobility;20;2;7.04202;10;1000000;1000;24;4;931380;927555
TSPbasedMobility;20;2;6.93420;10;1000000;1000;78;4;932765;929240
