Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;20;8;13.59089;10;3750000;3000;55;4;3565070;3029455;253
KingstonImprovedOverNSNMobility;20;16;30.43383;10;3750000;3000;148;4;3325700;1964825;657
TSPbasedMobility;20;4;6.72875;10;3750000;3000;134;4;3503460;3492955;976
TSPbasedMobility;20;8;14.43451;10;3750000;3000;148;4;3219150;3199565;468
KingstonImprovedOverNSNMobility;20;2;3.90681;10;3750000;3000;86;4;3691860;3518200;193
KingstonImprovedOverNSNMobility;20;4;7.60783;10;3750000;3000;93;4;3683715;3133830;331
TSPbasedMobility;20;16;25.53929;10;3750000;3000;255;4;2812620;2776710;551
KingstonImprovedOverNSNMobility;20;8;12.82697;10;3750000;3000;109;4;3584280;3050615;249
KingstonImprovedOverNSNMobility;20;16;36.62155;10;3750000;3000;148;4;3178885;1693605;798
TSPbasedMobility;20;2;3.01377;10;3750000;3000;640;4;3639710;3634645;150
KingstonImprovedOverNSNMobility;20;2;3.58250;10;3750000;3000;143;4;3702465;3551665;181
KingstonImprovedOverNSNMobility;20;4;8.52443;10;3750000;3000;170;4;3637760;3295925;53
TSPbasedMobility;20;2;3.98111;10;3750000;3000;201;4;3606285;3550175;422
KingstonImprovedOverNSNMobility;20;2;3.95482;10;3750000;3000;144;4;3685605;3482890;210
KingstonImprovedOverNSNMobility;20;4;7.44045;10;3750000;3000;161;4;3643055;3322310;285
KingstonImprovedOverNSNMobility;20;8;14.64474;10;3750000;3000;194;4;3535220;2945530;470
KingstonImprovedOverNSNMobility;20;16;33.57103;10;3750000;3000;280;4;3269800;1467900;385
KingstonImprovedOverNSNMobility;20;16;24.32432;10;3750000;3000;266;4;3430310;1967840;544
KingstonImprovedOverNSNMobility;20;2;3.30825;10;3750000;3000;121;4;3700485;3547985;438
KingstonImprovedOverNSNMobility;20;4;5.87662;10;3750000;3000;133;4;3663345;3399355;145
