[raspberrypi];[Fri Aug 31 08:38:59 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=36.txt 
[raspberrypi];[Fri Aug 31 08:39:04 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=36.txt 
[raspberrypi];[Fri Aug 31 08:39:10 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=36.txt 
[raspberrypi];[Fri Aug 31 08:39:17 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=37.txt 
[raspberrypi];[Fri Aug 31 08:39:22 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=37.txt 
[raspberrypi];[Fri Aug 31 08:39:33 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=37.txt 
[raspberrypi];[Fri Aug 31 08:39:38 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=37.txt 
[raspberrypi];[Fri Aug 31 08:39:43 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=37.txt 
[raspberrypi];[Fri Aug 31 08:39:48 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=37.txt 
[raspberrypi];[Fri Aug 31 08:39:59 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=38.txt 
[raspberrypi];[Fri Aug 31 08:40:04 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=38.txt 
[raspberrypi];[Fri Aug 31 08:40:09 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=38.txt 
[raspberrypi];[Fri Aug 31 08:40:14 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=38.txt 
[raspberrypi];[Fri Aug 31 08:40:19 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=38.txt 
[raspberrypi];[Fri Aug 31 08:40:25 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=38.txt 
[raspberrypi];[Fri Aug 31 08:40:33 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=39.txt 
[raspberrypi];[Fri Aug 31 08:40:38 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=39.txt 
[raspberrypi];[Fri Aug 31 08:40:43 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=39.txt 
[raspberrypi];[Fri Aug 31 08:40:48 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=39.txt 
[raspberrypi];[Fri Aug 31 08:40:58 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=39.txt 
[raspberrypi];[Fri Aug 31 08:41:04 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=39.txt 
[raspberrypi];[Fri Aug 31 08:41:11 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=40.txt 
[raspberrypi];[Fri Aug 31 08:41:16 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=40.txt 
[raspberrypi];[Fri Aug 31 08:41:32 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=40.txt 
