Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
FPPWRMobility;20;16;11.13281;71;259200;12649;11116;1;231770;228055;3269;626;106737;97363;4.295066550925926;11.434335938703613;7
ZigZagOverNSN;20;2;4.43673;71;259200;12649;4230;1;254090;243935;2811;181;42747;57453;1.711700769699741;7.722361573915598;7
ZigZagOverNSN;20;4;7.40577;71;259200;12649;4919;1;252620;229865;1942;181;71013;57453;2.8571634826055488;12.890132363694814;7
ZigZagOverNSN;20;8;12.29601;71;259200;12649;6875;1;246350;215980;1920;181;117218;57453;4.743829839677642;21.401853592405004;7
ZigZagOverNSN;20;16;23.88590;71;259200;12649;12091;1;235545;176550;1734;180;221963;57453;9.215238780768939;41.57467655257878;7
FPPWRMobility;800;2;0.23313;71;259200;12649;101401;1;258945;258150;28145;36;73183;546004;0.08994336354261995;0.04269807516107408;7
FPPWRMobility;800;8;0.27068;71;259200;12649;109506;1;258890;257965;19634;36;78265;546004;0.1044277010340448;0.0495741058820529;7
FPPWRMobility;800;4;0.28532;71;259200;12649;109811;1;258870;257855;25001;16694;85942;546004;0.1100763135740535;0.0522556253770937;7
FPPWRMobility;800;16;0.42962;71;259200;12649;150838;1;258770;257055;19228;69;126207;546004;0.1657493811085374;0.07868484403655082;7
ZigZagOverNSN;800;2;0.42005;71;259200;12649;104602;1;258585;257240;31480;4;161676;324722;0.16205527037132317;0.12935596011433462;7
ZigZagOverNSN;800;4;0.57003;71;259200;12649;108554;1;258675;256625;25252;4;188626;324722;0.21992005910874757;0.1755448639789955;7
ZigZagOverNSN;800;8;0.65516;71;259200;12649;112577;1;258630;256420;25738;3;183962;324722;0.2527623873552038;0.20176030820969576;7
ZigZagOverNSN;800;16;1.19287;71;259200;12649;143175;1;257735;253640;14105;4;400987;324722;0.46021214819339784;0.36735111514381136;7
FPPWRMobility;20;2;2.36796;71;259200;12649;3319;1;253390;252675;3482;837;22818;83982;0.9135644694977879;2.819603135122129;8
FPPWRMobility;20;4;4.10185;71;259200;12649;4037;1;249250;248025;3344;837;39554;83982;1.5825045724737101;4.884203581543494;8
FPPWRMobility;20;8;6.66966;71;259200;12649;6019;1;242765;240905;3234;837;64059;83982;2.573169998380582;7.941769231266782;8
FPPWRMobility;20;16;13.05295;71;259200;12649;12785;1;226795;223685;3232;837;125720;83982;5.035860875342936;15.542558392142233;8
ZigZagOverNSN;20;2;5.17216;71;259200;12649;4082;1;252725;240520;2321;243;50452;47328;1.995433777720621;10.928339147759994;8
ZigZagOverNSN;20;4;9.07311;71;259200;12649;4792;1;251250;224605;1645;243;86928;47328;3.5004280740359714;19.170701419669623;8
ZigZagOverNSN;20;8;15.08111;71;259200;12649;6419;1;244100;203315;1540;242;143350;47328;5.818331392413504;31.865100932082072;8
ZigZagOverNSN;20;16;30.00868;71;259200;12649;11338;1;223770;152125;1370;243;279778;47328;11.577423053840878;63.40576520359102;8
FPPWRMobility;800;2;0.22398;71;259200;12649;110012;1;258950;258170;27024;104;70877;555322;0.08641391097727238;0.04033423081619133;8
FPPWRMobility;800;4;0.27413;71;259200;12649;114585;1;258915;258000;23820;14728;83427;555322;0.10575985076350801;0.04936406862667295;8
FPPWRMobility;800;8;0.25640;71;259200;12649;115923;1;258895;257975;19036;104;76491;555322;0.09892048986196986;0.046171754355531724;8
FPPWRMobility;800;16;0.39974;71;259200;12649;146157;1;258740;257290;18710;104;122184;555322;0.15422237880563258;0.07198425523645735;8
ZigZagOverNSN;800;2;0.42574;71;259200;12649;106422;1;258585;257165;29220;81;158627;316356;0.1642497823907356;0.1345747942055111;8
ZigZagOverNSN;800;4;0.58461;71;259200;12649;111563;1;258640;256520;29204;7312;177672;316356;0.2255454148448233;0.18479615220757056;8
ZigZagOverNSN;800;8;0.68206;71;259200;12649;123043;1;258685;255880;20521;46;199819;316356;0.26314143381582433;0.21559970300883077;8
ZigZagOverNSN;800;16;1.24203;71;259200;12649;146010;1;258015;253310;13640;1739;399591;316356;0.47917853693939644;0.3926054090160817;8
FPPWRMobility;20;2;2.63059;71;259200;12649;3324;1;252780;251910;3017;744;25000;77026;1.0148897128867542;3.4152028351497763;9
FPPWRMobility;20;4;4.58507;71;259200;12649;4086;1;247905;246620;2928;744;43749;77026;1.7689311128257887;5.952625664638491;9
FPPWRMobility;20;8;7.44676;71;259200;12649;5805;1;240595;238995;2834;744;71020;77026;2.8729781092821223;9.667851451794538;9
FPPWRMobility;20;16;14.61285;71;259200;12649;11949;1;223140;219415;2821;744;139306;77026;5.637672539437586;18.97131776571836;9
ZigZagOverNSN;20;2;4.95862;71;259200;12649;4021;1;253945;242260;2298;3585;47291;50818;1.9130488754572483;9.757610856753882;9
ZigZagOverNSN;20;4;8.74016;71;259200;12649;4869;1;251540;226315;1773;95;84223;50818;3.3719760945358934;17.198949264113182;9
ZigZagOverNSN;20;8;14.32813;71;259200;12649;6433;1;245570;209245;1682;95;135387;50818;5.527826003086422;28.194980125152515;9
ZigZagOverNSN;20;16;27.94068;71;259200;12649;11499;1;229900;163160;1495;95;251324;50818;10.779584440729309;54.98186247071976;9
FPPWRMobility;800;4;0.27333;71;259200;12649;106943;1;258890;257950;25808;14540;90385;558470;0.105451930679393;0.04894289833312204;9
FPPWRMobility;800;8;0.25532;71;259200;12649;114301;1;258890;257990;19318;210;76794;558470;0.09850279766327422;0.045717630587714074;9
FPPWRMobility;800;2;0.22372;71;259200;12649;115177;1;258950;258160;27167;210;71017;558470;0.0863115810399503;0.04005937974386291;9
FPPWRMobility;800;16;0.39744;71;259200;12649;143526;1;258755;257225;18353;210;122696;558470;0.15333303862311262;0.0711657270956556;9
ZigZagOverNSN;800;2;0.41418;71;259200;12649;108424;1;258665;257270;26221;8111;143340;332909;0.15979005766794177;0.12441112420370283;9
ZigZagOverNSN;800;4;0.53232;71;259200;12649;114691;1;258630;256910;26495;8790;165625;332909;0.20536967229414457;0.1598990086138923;9
ZigZagOverNSN;800;8;0.62030;71;259200;12649;117478;1;258570;256760;21028;38;208293;332909;0.23931437304717226;0.186328052091794;9
ZigZagOverNSN;800;16;1.12291;71;259200;12649;148315;1;257605;254650;16107;4826;386738;332909;0.4332230923615859;0.33730366418487656;9
FPPWRMobility;20;2;2.14892;71;259200;12649;3533;1;254095;252975;3084;596;20454;94157;0.8290585467154398;2.2822729622719713;10
FPPWRMobility;20;4;3.81964;71;259200;12649;4298;1;250080;248305;3015;820;36776;94157;1.4736255191662873;4.05666848527355;10
FPPWRMobility;20;8;6.02903;71;259200;12649;5885;1;244780;241845;2932;824;57668;94157;2.32601529159046;6.403168788090607;10
FPPWRMobility;20;16;11.74257;71;259200;12649;11251;1;230925;225765;2914;434;111952;94157;4.530313774100749;12.471269584278536;10
ZigZagOverNSN;20;2;5.42921;71;259200;12649;4053;1;252555;240290;2081;256;52361;44946;2.094600789704314;12.079395823685271;10
ZigZagOverNSN;20;4;9.80864;71;259200;12649;4873;1;249525;224025;1770;256;92325;44946;3.7841982929431484;21.823169971318116;10
ZigZagOverNSN;20;8;16.21933;71;259200;12649;6507;1;241795;203065;1569;255;149477;44946;6.257457061614084;36.0862561823159;10
ZigZagOverNSN;20;16;31.65326;71;259200;12649;10724;1;217745;155975;1491;256;288535;44946;12.211905876105012;70.42508795190716;10
FPPWRMobility;800;2;0.22185;71;259200;12649;112941;1;258950;258115;27769;36;70515;563612;0.0855896898457732;0.03936191494862497;10
FPPWRMobility;800;4;0.27189;71;259200;12649;118078;1;258885;257890;24517;13985;83189;563612;0.1048956279292399;0.04824053916392657;10
FPPWRMobility;800;8;0.25353;71;259200;12649;135973;1;258880;257890;18879;36;76463;563612;0.09781067517813558;0.04498223424301247;10
FPPWRMobility;800;16;0.39302;71;259200;12649;151085;1;258740;257095;18964;36;121817;563612;0.1516297103028325;0.06973311588556344;10
ZigZagOverNSN;800;2;0.41144;71;259200;12649;105965;1;258710;257375;28360;7078;127114;335606;0.15873326849708316;0.12259513594644898;10
ZigZagOverNSN;800;4;0.52507;71;259200;12649;111211;1;258350;257085;27843;27;194341;335606;0.20257513473317654;0.15645570973951406;10
ZigZagOverNSN;800;8;0.60176;71;259200;12649;124176;1;258425;256855;28943;25;174240;335606;0.23216058015641788;0.1793055618092153;10
ZigZagOverNSN;800;16;1.07498;71;259200;12649;148385;1;257785;254840;15054;25;362698;335606;0.4147283515994116;0.32030890012266616;10
FPPWRMobility;20;2;2.28733;71;259200;12649;3233;1;254210;251215;3451;748;21654;88611;0.8824561685528118;2.581312014184343;11
FPPWRMobility;20;4;3.98167;71;259200;12649;4190;1;250385;245290;3358;748;38102;88611;1.536139808146624;4.493431270063592;11
FPPWRMobility;20;8;6.44994;71;259200;12649;5740;1;244430;236540;3203;748;61269;88611;2.488403599394146;7.278940684147144;11
FPPWRMobility;20;16;12.62259;71;259200;12649;12275;1;229660;214870;3191;748;120334;88611;4.869825900682059;14.244945587531905;11
ZigZagOverNSN;20;2;4.22907;71;259200;12649;4092;1;254450;244275;2483;83;41107;58045;1.6315857315005322;7.285847559737065;11
ZigZagOverNSN;20;4;6.99566;71;259200;12649;4563;1;253345;231975;1992;83;67069;58045;2.698942794067216;12.05213148802175;11
ZigZagOverNSN;20;8;11.67062;71;259200;12649;6416;1;247615;216010;1868;83;108213;58045;4.502554452922574;20.106160981954194;11
ZigZagOverNSN;20;16;22.60378;71;259200;12649;11806;1;236970;178165;1617;83;210771;58045;8.720594469212012;38.94182248978815;11
FPPWRMobility;800;4;0.27465;71;259200;12649;103298;1;258895;257840;26392;13284;90772;563134;0.10595985927735703;0.04877133244430445;11
FPPWRMobility;800;2;0.22393;71;259200;12649;107923;1;258960;258160;27916;226;71101;563134;0.0863925147176498;0.03976485137607537;11
FPPWRMobility;800;8;0.25643;71;259200;12649;110571;1;258905;258010;18965;226;76880;563134;0.09892979258354304;0.04553552482651439;11
FPPWRMobility;800;16;0.39744;71;259200;12649;144891;1;258735;257270;19780;226;122809;563134;0.15333396889526993;0.07057674503342715;11
ZigZagOverNSN;800;2;0.41938;71;259200;12649;106225;1;258600;257235;31679;16200;150177;318258;0.16179665471155458;0.13177262755762603;11
ZigZagOverNSN;800;4;0.57722;71;259200;12649;112158;1;258765;256755;19456;12;165381;318258;0.222693200410093;0.18136881883973413;11
ZigZagOverNSN;800;8;0.66758;71;259200;12649;112780;1;258515;256330;23498;12;223785;318258;0.2575532889660499;0.2097600453091521;11
ZigZagOverNSN;800;16;1.22921;71;259200;12649;264925;1;257860;224940;14025;2095;401909;318258;0.47423414042257156;0.38623220530993896;11
FPPWRMobility;20;2;2.39236;71;259200;12649;3288;1;253440;252605;3239;876;22879;82800;0.9229788237311373;2.8893250134192123;12
FPPWRMobility;20;4;4.18239;71;259200;12649;3989;1;248875;247850;3239;876;40073;82800;1.6135756625323892;5.051193378362262;12
FPPWRMobility;20;8;6.75550;71;259200;12649;5783;1;242960;241055;3124;876;64206;82800;2.606287687185642;8.158813629450705;12
FPPWRMobility;20;16;13.25974;71;259200;12649;11482;1;226565;223380;3123;876;126469;82800;5.115641015565464;16.014180570465797;12
