Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
TSPConcorde;20;12;31.03067;71;259200;13000;6504;140;4;182325;175915;1575;234;300451;49384;11.971709605052583;62.83547565263303;3
DADCA-lkh-cutted;20;12;30.93393;71;259200;13000;6698;19;4;219850;149255;1435;234;300385;52578;11.934387086095867;58.83436290304022;3
DADCA-lkh;20;12;33.99556;71;259200;13000;6754;54;4;214660;142725;2712;198;329309;49384;13.115572249847585;68.83922580512908;3
DADCA-parted-nsn;20;12;30.02903;71;259200;13000;6506;3;4;221025;151560;1495;198;291690;54390;11.58527455084972;55.21057480382878;3
DADCA-NSN;20;12;28.55777;71;259200;13000;7524;1;4;220405;158685;1430;198;269326;56938;11.017659691262763;50.15591330877987;3
FPPWR;20;12;15.62133;71;259200;13000;6949;10;4;220850;217250;2731;596;150192;90924;6.026749566567598;17.18065073747659;3
TSPConcorde;20;16;41.04524;71;259200;13000;8597;172;4;157340;148785;1340;198;397404;50098;15.835353140241578;81.92988809833959;3
DADCA-lkh-cutted;20;16;41.16175;71;259200;13000;8743;46;4;207155;114540;1433;198;398993;52578;15.880303890889348;78.28701678493893;3
DADCA-lkh;20;16;45.20052;71;259200;13000;8724;44;4;199780;103290;2710;198;437449;49384;17.43847254372428;91.52867494195152;3
DADCA-parted-nsn;20;16;40.04147;71;259200;13000;8446;0;4;208885;116050;1491;198;389006;54390;15.448099446540164;73.61918324219913;3
DADCA-NSN;20;16;37.84423;71;259200;13000;9781;0;4;207875;124130;1298;198;351654;56938;14.600398245789513;66.46568592694935;3
FPPWR;20;16;20.76013;71;259200;13000;9017;0;4;208705;203465;2734;596;199893;90924;8.009308377629171;22.832395533428812;3
TSPConcorde;20;4;10.31964;71;259200;13000;3401;172;4;233945;231540;1421;241;99969;50250;3.9813415685490012;20.53659173269455;4
DADCA-lkh-cutted;20;4;10.86574;71;259200;13000;3370;47;4;245380;220400;1406;241;105505;51044;4.192029606767259;21.287008739010925;4
DADCA-lkh;20;4;10.53019;71;259200;13000;3464;47;4;245480;222220;2965;241;101429;54351;4.062572933337145;19.37441637358996;4
DADCA-parted-nsn;20;4;11.14670;71;259200;13000;3479;0;4;245980;220010;1380;36;107855;49958;4.300424918552813;22.312144979560614;4
DADCA-NSN;20;4;11.56597;71;259200;13000;3713;0;4;243550;218675;1787;36;110989;49412;4.462180641289438;23.40721327252939;4
FPPWR;20;4;4.84124;71;259200;13000;3494;15;4;247225;246100;3009;680;46627;100278;1.8677632268328008;4.827820941732603;4
TSPConcorde;20;8;20.29842;71;259200;13000;5077;302;4;209125;204550;1548;36;196097;54351;7.8311798649215065;37.34690844671955;4
DADCA-lkh-cutted;20;8;21.50415;71;259200;13000;4976;62;4;234275;182515;1408;241;208867;51044;8.29635315453056;42.128648570925506;4
DADCA-lkh;20;8;20.71364;71;259200;13000;4711;47;4;232340;187955;2956;241;199079;54351;7.991372730433622;38.11086846108434;4
DADCA-parted-nsn;20;8;21.94686;71;259200;13000;4817;0;4;234065;182830;1375;241;213002;49958;8.467151122637555;43.930613134786306;4
DADCA-NSN;20;8;22.66532;71;259200;13000;5346;0;4;229500;179800;1624;36;217879;49412;8.744335014670018;45.87006467664674;4
FPPWR;20;8;9.36217;71;259200;13000;4916;0;4;236275;233775;3006;680;89963;100278;3.611949100270537;9.336217383574892;4
TSPConcorde;20;12;30.54215;71;259200;13000;6365;187;4;184540;177480;1422;241;295693;50250;11.783236465954124;60.78039586020515;4
DADCA-lkh-cutted;20;12;31.94425;71;259200;13000;6536;63;4;222825;146330;1411;36;309780;51044;12.32417112006554;62.58179520258968;4
DADCA-lkh;20;12;30.89892;71;259200;13000;6241;47;4;219265;152565;2959;241;297653;54351;11.92087953436976;56.85069226525072;4
DADCA-parted-nsn;20;12;32.74566;71;259200;13000;6016;0;4;221080;144460;1382;36;317687;49958;12.633356374314127;65.54637840230238;4
DADCA-NSN;20;12;33.46701;71;259200;13000;7132;0;4;214595;140940;1513;36;317039;49412;12.911656592935527;67.73053891542315;4
FPPWR;20;12;13.89313;71;259200;13000;6832;16;4;225295;221670;3011;680;133274;100278;5.36000490588325;13.85461688111987;4
TSPConcorde;20;16;40.63455;71;259200;13000;8072;188;4;159100;150770;1420;241;393439;50250;15.676909186385458;80.864773355445;4
DADCA-lkh-cutted;20;16;42.61671;71;259200;13000;8147;62;4;212050;108525;1405;241;413712;51044;16.441630110691968;83.49013644485852;4
DADCA-lkh;20;16;41.16001;71;259200;13000;8096;63;4;206180;116315;2956;241;396067;54351;15.879634094935986;75.7299986643743;4
