Strategy;nUAV;nPOIs;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
DADCA-LKH-Cut;16;16;33.866344999999995;0.0009333333333333333;1590.0;47048.0;6501984.0;11683.0;18900.0;1052658.0;65790.5;1315810.0;100.5
DADCA-LKH-Cut;16;32;25.053470000000004;0.001025;2005.5;62497.5;7151752.0;8247.0;15553.0;1528637.0;95539.5;1910790.0;100.5
DADCA-LKH-Cut;16;48;20.619495;0.0010583333333333334;2331.0;73718.0;7152180.0;6661.0;13969.0;1850451.0;115652.5;2313050.0;100.5
DADCA-LKH-Cut;16;50;20.17579;0.0005166666666666667;2369.5;75171.5;650208.0;6515.0;13790.0;1893342.5;118333.5;2366670.0;100.5
DADCA-LKH-Cut;16;80;15.513555;0.0010166666666666668;3048.5;92781.5;7802068.0;4959.5;12231.5;2319287.0;144955.0;2899100.0;100.5
DADCA-LKH-Cut;16;160;10.205960000000001;0.0010166666666666668;4079.0;126411.0;7841800.0;3156.0;10341.0;3056300.0;191018.0;3820360.0;100.0
DADCA-LKH-Cut;16;250;7.45854;0.0006666666666666668;5227.0;156086.5;650112.0;2236.0;9352.0;3500672.0;218791.5;4375830.0;99.5
DADCA-LKH-Cut;16;320;6.201775;0.0009666666666666667;6126.0;175403.5;-14556156.0;1817.5;8855.5;3727197.5;232949.5;4658990.0;99.5
DADCA-LKH-Cut;16;500;4.278745000000001;0.0006833333333333333;8856.5;217426.0;1300384.0;1179.0;7478.5;3953095.0;247068.0;4941360.0;99.5
DADCA-NSN;2;16;4.7831649999999994;0.00035;3599.0;46244.0;0.0;101.0;108.0;15809.5;7904.5;158090.0;100.5
DADCA-NSN;2;32;3.23839;0.00036666666666666667;5624.0;65819.0;0.0;69.0;74.0;22197.5;11098.5;221970.0;100.5
DADCA-NSN;2;48;2.55687;0.00040833333333333336;7715.5;82005.0;0.0;53.0;58.0;26345.0;13172.0;263440.0;100.5
DADCA-NSN;2;50;2.49298;0.00042500000000000003;7873.5;83232.0;0.0;51.0;58.0;26470.0;13234.5;264690.0;99.5
DADCA-NSN;2;80;1.9043199999999998;0.0005;9906.0;106332.0;0.0;39.0;44.0;29774.5;14887.0;297740.0;100.5
DADCA-NSN;2;250;0.9434900000000002;0.0009166666666666668;16970.5;186978.5;1300224.0;17.0;22.0;37019.5;18509.5;370190.0;99.5
DADCA-NSN;2;320;0.791825;0.0011166666666666666;19440.0;212370.0;1300280.0;14.0;20.0;34826.5;17413.0;348260.0;99.5
DADCA-NSN;2;500;0.581105;0.00255;25198.5;264017.0;2600680.0;9.0;14.0;34653.5;17326.5;346530.0;99.5
DADCA-NSN;4;16;9.30658;0.00035;3297.5;46244.0;0.0;597.0;664.0;99924.0;24980.5;499610.0;100.5
