;Strategy;mapName;nPOIs;nUAV;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy
2520;TSP-based;121;500;4;1.21086;0.15371666666666667;13514;219.028;12285928;0;0;0;0;0.0
2521;DADCA-LKH-Cut;190;250;4;2.0253;0.0008833333333333334;9012;155.201;1300384;104;206;152199;38049;760980.0
2522;DADCA-NSN;11;500;4;0.9606399999999999;0.0018333333333333335;26553;264.291;2600600;53;108;205546;51386;1027720.0
2523;DADCA-LKH;191;250;4;2.06185;0.03365;13748;154.41;-13104056;135;188;310845;77711;1554220.0
2524;TSP-based;122;500;4;1.24658;0.051416666666666666;13287;213.555;12604024;0;0;0;0;0.0
2525;DADCA-Parted-NSN;11;500;4;0.8638899999999999;0.0005666666666666667;15646;283.734;325056;28;128;86191;21547;430940.0
2526;DADCA-LKH-Cut;191;250;4;2.03577;0.0005166666666666667;9001;155.151;1301424;116;217;160833;40208;804160.0
2527;FPPWR;12;500;4;0.29405;0.00125;31626;564.2570000000001;650160;0;0;0;0;0.0
2528;DADCA-LKH;192;250;4;2.0952599999999997;0.027883333333333336;13570;152.238;-12536408;125;179;307790;76947;1538940.0
2529;DADCA-NSN;12;500;4;0.96734;0.0018333333333333335;26520;263.688;2600600;51;104;197998;49499;989980.0
2530;TSP-based;123;500;4;1.2188;0.7622166666666667;13491;218.317;12604904;0;0;0;0;0.0
2531;DADCA-LKH-Cut;192;250;4;2.06766;0.0005833333333333334;8841;152.867;1300376;114;215;171578;42894;857880.0
2532;DADCA-Parted-NSN;12;500;4;0.9303;0.0006333333333333334;14880;271.833;325056;25;131;86040;21510;430200.0
2533;DADCA-LKH;193;250;4;2.0279599999999998;0.04771666666666667;14267;156.565;-13133120;121;174;304912;76228;1524560.0
2534;TSP-based;124;500;4;1.2113;0.3940166666666667;14127;219.946;12171800;0;0;0;0;0.0
2535;FPPWR;13;500;4;0.30044;0.0012166666666666667;31286;553.146;650112;0;0;0;0;0.0
2536;DADCA-LKH-Cut;193;250;4;2.0084299999999997;0.0007;9133;156.683;1300224;104;205;153773;38443;768860.0
2537;DADCA-NSN;13;500;4;0.9830399999999999;0.0020166666666666666;26241;260.31;2600600;49;113;203621;50905;1018100.0
2538;DADCA-LKH;194;250;4;2.0786700000000002;0.028833333333333336;13768;153.80100000000002;-13180512;131;186;320951;80237;1604740.0
2539;TSP-based;125;500;4;1.20468;0.17991666666666667;13532;220.02100000000002;12626456;0;0;0;0;0.0
2540;DADCA-Parted-NSN;13;500;4;0.82316;0.0006500000000000001;16053;289.822;325056;31;144;91812;22953;459060.0
2541;DADCA-LKH-Cut;194;250;4;2.06502;0.0009833333333333335;8922;153.558;1300384;114;216;164974;41243;824860.0
2542;FPPWR;14;500;4;0.28823000000000004;0.0010666666666666667;31727;571.7520000000001;650112;0;0;0;0;0.0
2543;DADCA-LKH;195;250;4;2.38556;0.031566666666666666;15433;154.81;-13129392;63639;63742;295363;73840;1476800.0
2544;TSP-based;126;500;4;1.19879;0.08636666666666667;13701;220.804;12803232;0;0;0;0;0.0
2545;DADCA-NSN;14;500;4;0.86093;0.0018333333333333335;30322;282.271;2600760;53;112;151349;37837;756740.0
2546;DADCA-LKH-Cut;195;250;4;2.0714799999999998;0.0006500000000000001;10477;153.485;650136;128;272;154898;38724;774480.0
2547;DADCA-Parted-NSN;14;500;4;0.8854;0.0006333333333333334;15471;281.437;325056;28;128;86559;21639;432780.0
2548;DADCA-LKH;196;250;4;2.0653900000000003;0.0351;13959;154.162;-12154064;125;178;318213;79553;1591060.0
2549;TSP-based;127;500;4;1.21696;0.4074666666666667;13840;218.76500000000001;12164088;0;0;0;0;0.0
2550;FPPWR;15;500;4;0.29679;0.00125;30652;555.691;650160;0;0;0;0;0.0
2551;DADCA-LKH-Cut;196;250;4;2.01301;0.0005833333333333334;9054;156.294;1300384;112;212;154422;38605;772100.0
2552;DADCA-NSN;15;500;4;0.9171600000000001;0.0018333333333333335;29687;273.581;2600600;41;94;169119;42279;845580.0
2553;DADCA-LKH;197;250;4;2.12499;0.07838333333333333;13563;150.447;-12860296;125;178;309496;77374;1547480.0
2554;DADCA-Parted-NSN;15;500;4;0.86736;0.0006500000000000001;16684;282.406;325056;33;136;73315;18328;366560.0
2555;TSP-based;128;500;4;1.2002899999999999;2.228416666666667;13344;219.971;12470912;0;0;0;0;0.0
2556;DADCA-LKH-Cut;197;250;4;2.0851900000000003;0.0005833333333333334;9166;151.791;1300584;118;230;157651;39412;788240.0
2557;FPPWR;16;500;4;0.29236;0.0009666666666666667;30837;561.664;650112;0;0;0;0;0.0
2558;DADCA-LKH;198;250;4;2.09586;0.017733333333333334;13702;152.622;-12468984;121;174;308899;77224;1544480.0
2559;DADCA-NSN;16;500;4;0.99149;0.0018666666666666666;25871;259.76300000000003;2600600;47;116;204842;51210;1024200.0
2560;TSP-based;129;500;4;1.21807;0.23795000000000002;13420;217.93200000000002;12159496;0;0;0;0;0.0
2561;DADCA-LKH-Cut;198;250;4;2.0705;0.0008333333333333334;8939;152.514;1300384;119;219;170139;42534;850680.0
2562;DADCA-Parted-NSN;16;500;4;0.95496;0.0006166666666666667;13529;264.176;325088;40;140;105717;26429;528580.0
2563;DADCA-LKH;199;250;4;2.0581400000000003;0.05146666666666667;13838;154.635;-13155696;131;184;308824;77206;1544120.0
2564;TSP-based;130;500;4;1.21098;0.17635;13605;218.963;12642584;0;0;0;0;0.0
2565;FPPWR;17;500;4;0.29528000000000004;0.0009666666666666667;31644;561.171;650112;0;0;0;0;0.0
2566;DADCA-LKH-Cut;199;250;4;2.0238;0.0006833333333333333;8988;155.772;1300408;106;207;152615;38153;763060.0
2567;DADCA-NSN;17;500;4;0.9743799999999999;0.00185;26281;262.279;2600544;53;106;205127;51281;1025620.0
