Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;20;2;4,07109;10;3750000;3000;38;4;3674330;3498190;455
KingstonImprovedOverNSNMobility;20;4;6,47178;10;3750000;3000;46;4;3667440;3251535;440
KingstonImprovedOverNSNMobility;20;4;4,88619;10;3750000;3000;48;4;3677265;3457995;219
KingstonImprovedOverNSNMobility;20;4;6,97874;10;3750000;3000;49;4;3648065;3216215;626
KingstonImprovedOverNSNMobility;20;8;15,04971;10;3750000;3000;63;4;3555840;2939915;387
KingstonImprovedOverNSNMobility;20;8;17,50390;10;3750000;3000;66;4;3518050;2795060;270
KingstonImprovedOverNSNMobility;20;8;17,67659;10;3750000;3000;66;4;3509830;2777615;271
KingstonImprovedOverNSNMobility;20;16;23,08095;10;3750000;3000;86;4;3469105;1960640;484
KingstonImprovedOverNSNMobility;20;16;27,28685;10;3750000;3000;87;4;3364195;2156020;786
KingstonImprovedOverNSNMobility;20;16;31,15490;10;3750000;3000;93;4;3391945;1515995;746
ZigZagOverNSNMobility;20;2;3,70005;10;3750000;3000;39;4;3681675;3581470;607
ZigZagOverNSNMobility;20;2;3,24727;10;3750000;3000;39;4;3689530;3604185;237
ZigZagOverNSNMobility;20;2;2,98851;10;3750000;3000;40;4;3692625;3614980;529
ZigZagOverNSNMobility;20;4;6,57365;10;3750000;3000;46;4;3623460;3455845;616
ZigZagOverNSNMobility;20;4;6,97909;10;3750000;3000;47;4;3615100;3436545;555
ZigZagOverNSNMobility;20;4;7,83765;10;3750000;3000;48;4;3598080;3391200;91
ZigZagOverNSNMobility;20;8;13,51435;10;3750000;3000;57;4;3487300;3143890;455
ZigZagOverNSNMobility;20;8;12,86725;10;3750000;3000;57;4;3508725;3172495;643
ZigZagOverNSNMobility;20;8;15,58099;10;3750000;3000;59;4;3459655;3062635;260
ZigZagOverNSNMobility;20;16;30,52355;10;3750000;3000;75;4;3157200;2521315;483
ZigZagOverNSNMobility;20;16;34,72971;10;3750000;3000;77;4;3075620;2346350;529
ZigZagOverNSNMobility;20;16;28,31924;10;3750000;3000;77;4;3185285;2636690;430
KingstonImprovedOverNSNMobility;20;2;3,19507;10;3750000;3000;38;4;3695520;3527555;810
KingstonImprovedOverNSNMobility;20;2;3,66449;10;3750000;3000;38;4;3702875;3556850;201
KingstonImprovedOverNSNMobility;20;2;3,12629;10;3750000;3000;40;4;3705195;3570310;452
KingstonImprovedOverNSNMobility;20;4;5,31960;10;3750000;3000;47;4;3678905;3442915;341
KingstonImprovedOverNSNMobility;20;4;5,99559;10;3750000;3000;47;4;3672815;3443385;261
KingstonImprovedOverNSNMobility;20;4;6,86881;10;3750000;3000;50;4;3653900;3376460;379
KingstonImprovedOverNSNMobility;20;8;15,80151;10;3750000;3000;62;4;3548485;2934380;619
KingstonImprovedOverNSNMobility;20;8;15,98420;10;3750000;3000;63;4;3523385;2857440;271
KingstonImprovedOverNSNMobility;20;8;17,54532;10;3750000;3000;66;4;3419005;2740090;527
KingstonImprovedOverNSNMobility;20;16;28,58306;10;3750000;3000;89;4;3358985;2250450;664
KingstonImprovedOverNSNMobility;20;16;26,06423;10;3750000;3000;91;4;3355260;2212765;222
KingstonImprovedOverNSNMobility;20;16;38,83079;10;3750000;3000;95;4;3200930;1642915;304
ZigZagOverNSNMobility;20;2;3,21404;10;3750000;3000;38;4;3687720;3605790;413
ZigZagOverNSNMobility;20;2;3,86753;10;3750000;3000;38;4;3680800;3521885;450
