Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;pathTime;globalAvgDelay;nMsgs;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
TSP-based;50;4;5.37863;71;259200;13000;32;4312;131659;74490;1308584;0;0;0;0;0.0;11
DADCA-LKH;50;8;9.91397;71;259200;13000;32;4872;236188;78045;650112;1499;1944;746599;93324;1866480.0;5
DADCA-NSN;50;4;5.12230;71;259200;13000;23;6029;124770;79607;0;315;370;163985;40996;819920.0;2
TSP-based;50;2;2.79259;71;259200;13000;40;4307;67648;74490;1301056;0;0;0;0;0.0;11
DADCA-NSN;50;16;19.67261;71;259200;13000;23;4064;446210;79607;650144;6242;9988;2909867;181866;3637320.0;2
TSP-based;50;8;10.57789;71;259200;13000;36;4315;257502;74490;1302288;0;0;0;0;0.0;11
DADCA-LKH;50;16;19.65640;71;259200;13000;35;4227;448270;78045;1300360;6456;9799;3129748;195609;3912180.0;5
DADCA-Parted-NSN;50;2;2.40883;71;259200;13000;23;5284;55439;86903;0;50;62;13992;6996;139920.0;2
DADCA-Parted-NSN;50;8;8.95748;71;259200;13000;23;2551;127486;86903;0;1274;2207;345332;43166;863320.0;2
DADCA-LKH-Cut;50;4;5.14807;71;259200;13000;49;16975;126147;76407;1300496;331;439;89167;22291;445820.0;5
DADCA-Parted-NSN;50;4;4.59888;71;259200;13000;21;3297;73810;86903;0;278;388;70214;17553;351060.0;2
TSP-based;50;16;20.96690;71;259200;13000;62;4313;510727;74490;1300248;0;0;0;0;0.0;11
DADCA-LKH-Cut;50;2;2.68515;71;259200;13000;34;4870;66603;76407;650272;54;64;14527;7263;145260.0;5
TSP-based;50;4;5.31566;71;259200;13000;42;3735;130418;75445;1300648;0;0;0;0;0.0;12
DADCA-Parted-NSN;50;16;17.60440;71;259200;13000;21;2250;234062;86903;650400;5464;12987;1694138;105883;2117660.0;2
DADCA-LKH-Cut;50;8;10.03422;71;259200;13000;34;2592;138867;76407;650248;1464;2347;490771;61346;1226920.0;5
TSP-based;50;2;2.76520;71;259200;13000;46;3735;68157;75445;1300408;0;0;0;0;0.0;12
FPPWR;50;2;0.93846;71;259200;13000;48;11284;21772;212555;650176;0;0;0;0;0.0;3
FPPWR;50;8;3.09776;71;259200;13000;42;11254;71427;212555;650176;0;0;0;0;0.0;3
TSP-based;50;8;10.40606;71;259200;13000;49;3730;254604;75445;1302288;0;0;0;0;0.0;12
FPPWR;50;4;1.66474;71;259200;13000;33;11242;38935;212555;650112;0;0;0;0;0.0;3
DADCA-LKH-Cut;50;16;19.80004;71;259200;13000;29;2183;250120;76407;1300456;6373;13663;1612887;100805;2016100.0;5
DADCA-LKH;50;4;5.56674;71;259200;13000;29;5504;130362;71701;1316784;357;411;181529;45382;907640.0;6
FPPWR;50;16;5.96987;71;259200;13000;48;11247;137949;212555;650112;0;0;0;0;0.0;3
TSP-based;50;16;20.56948;71;259200;13000;40;3728;502460;75445;1300248;0;0;0;0;0.0;12
DADCA-LKH;50;2;2.90077;71;259200;13000;34;6558;68375;71701;650144;61;66;30938;15469;309380.0;6
DADCA-NSN;50;2;2.34344;71;259200;13000;22;8378;55198;89631;0;47;57;24649;12324;246480.0;3
DADCA-NSN;50;8;8.74919;71;259200;13000;29;5339;207438;89631;0;1285;1751;639587;79948;1598960.0;3
TSP-based;50;4;5.25621;71;259200;13000;51;4073;128304;76254;1300424;0;0;0;0;0.0;13
DADCA-LKH;50;8;10.91964;71;259200;13000;33;4271;263038;71701;650112;1650;2096;821193;102649;2052980.0;6
TSP-based;50;2;2.73449;71;259200;13000;42;4071;67011;76254;1300464;0;0;0;0;0.0;13
DADCA-NSN;50;4;4.47909;71;259200;13000;23;6647;107733;89631;0;275;343;141500;35375;707500.0;3
TSP-based;50;8;10.30154;71;259200;13000;42;4062;250637;76254;1302288;0;0;0;0;0.0;13
DADCA-NSN;50;16;17.13279;71;259200;13000;22;4700;382432;89631;650144;5404;9105;2630780;164423;3288460.0;3
DADCA-LKH;50;16;21.53989;71;259200;13000;27;3863;484200;71701;1300360;7024;10458;3340574;208785;4175700.0;6
DADCA-Parted-NSN;50;2;2.23148;71;259200;13000;24;6051;53849;93691;0;42;54;12581;6290;125800.0;3
DADCA-Parted-NSN;50;8;8.24904;71;259200;13000;21;2946;107305;93691;0;1164;2094;350686;43835;876700.0;3
DADCA-LKH-Cut;50;4;5.42292;71;259200;13000;40;2608;85778;72798;1316784;330;432;93118;23279;465580.0;6
TSP-based;50;16;20.34657;71;259200;13000;50;4066;496978;76254;1300248;0;0;0;0;0.0;13
DADCA-Parted-NSN;50;4;4.24695;71;259200;13000;22;3717;66101;93691;0;248;368;71024;17756;355120.0;3
DADCA-LKH-Cut;50;2;2.81698;71;259200;13000;31;4588;67711;72798;1300624;58;68;18530;9265;185300.0;6
TSP-based;50;4;5.21061;71;259200;13000;60;3729;127513;76650;1300376;0;0;0;0;0.0;14
DADCA-Parted-NSN;50;16;16.16597;71;259200;13000;23;2568;183195;93691;650288;5059;12836;1453644;90852;1817040.0;3
TSP-based;50;2;2.70606;71;259200;13000;38;3724;66549;76650;1300528;0;0;0;0;0.0;14
DADCA-LKH-Cut;50;8;10.61022;71;259200;13000;30;2218;133959;72798;650248;1572;2462;435251;54406;1088120.0;6
FPPWR;50;2;0.96983;71;259200;13000;42;11194;22330;203081;650112;0;0;0;0;0.0;4
FPPWR;50;8;3.23611;71;259200;13000;34;11204;75201;203081;650112;0;0;0;0;0.0;4
TSP-based;50;8;10.22396;71;259200;13000;42;3721;249790;76650;1302288;0;0;0;0;0.0;14
FPPWR;50;4;1.72002;71;259200;13000;33;11228;39884;203081;650136;0;0;0;0;0.0;4
DADCA-LKH-Cut;50;16;20.82315;71;259200;13000;33;1845;253517;72798;1300456;6785;14028;1946894;121680;2433600.0;6
DADCA-LKH;50;4;5.34008;71;259200;13000;34;6010;130754;74652;1301264;341;394;186229;46557;931140.0;7
FPPWR;50;16;6.26061;71;259200;13000;34;11206;144866;203081;650112;0;0;0;0;0.0;4
TSP-based;50;16;20.24105;71;259200;13000;39;3724;495033;76650;1300248;0;0;0;0;0.0;14
DADCA-LKH;50;2;2.79090;71;259200;13000;27;7070;68291;74652;650144;57;62;32198;16099;321980.0;7
DADCA-NSN;50;2;2.65571;71;259200;13000;26;7572;64054;80114;0;56;65;28092;14046;280920.0;4
TSP-based;50;4;5.59757;71;259200;13000;47;3884;137149;71998;1300376;0;0;0;0;0.0;15
DADCA-NSN;50;8;9.89213;71;259200;13000;24;5106;235162;80114;0;1456;2000;749992;93749;1874980.0;4
TSP-based;50;2;2.89761;71;259200;13000;40;3877;71364;71998;650272;0;0;0;0;0.0;15
DADCA-LKH;50;8;10.45228;71;259200;13000;29;5129;250137;74652;650112;1585;2030;848239;106029;2120580.0;7
DADCA-NSN;50;4;5.06813;71;259200;13000;22;6342;123254;80114;0;321;377;164270;41067;821340.0;4
TSP-based;50;8;10.97878;71;259200;13000;39;3884;268064;71998;1302288;0;0;0;0;0.0;15
DADCA-NSN;50;16;19.44047;71;259200;13000;23;4503;447546;80114;650144;6243;10221;3113712;194607;3892140.0;4
DADCA-LKH;50;16;20.62064;71;259200;13000;33;4277;458261;74652;1300360;6736;10181;3420112;213757;4275140.0;7
DADCA-Parted-NSN;50;2;2.27153;71;259200;13000;21;6272;54096;90603;0;44;54;12423;6211;124220.0;4
DADCA-Parted-NSN;50;8;8.42658;71;259200;13000;25;2682;95396;90603;0;1211;2094;382163;47770;955400.0;4
TSP-based;50;16;21.76312;71;259200;13000;45;3884;530681;71998;1300248;0;0;0;0;0.0;15
DADCA-LKH-Cut;50;4;5.29248;71;259200;13000;31;4312;127405;74264;1300384;339;440;97070;24267;485340.0;7
DADCA-Parted-NSN;50;4;4.33337;71;259200;13000;21;3544;59375;90603;0;256;358;70563;17640;352800.0;4
TSP-based;50;4;5.48283;71;259200;13000;58;3897;134688;73138;1300472;0;0;0;0;0.0;16
DADCA-LKH-Cut;50;2;2.75216;71;259200;13000;47;4287;67453;74264;1300384;61;72;16895;8447;168940.0;7
DADCA-Parted-NSN;50;16;16.48785;71;259200;13000;23;2480;156497;90603;650240;5268;12859;1584374;99023;1980460.0;4
TSP-based;50;2;2.83897;71;259200;13000;34;3901;70009;73138;1300464;0;0;0;0;0.0;16
DADCA-LKH-Cut;50;8;10.34707;71;259200;13000;31;2589;133424;74264;650248;1564;2432;448998;56124;1122480.0;7
FPPWR;50;2;1.01381;71;259200;13000;51;10420;23595;195737;650112;0;0;0;0;0.0;5
FPPWR;50;8;3.41354;71;259200;13000;59;10400;79225;195737;650112;0;0;0;0;0.0;5
TSP-based;50;8;10.73009;71;259200;13000;36;3894;262946;73138;1302288;0;0;0;0;0.0;16
FPPWR;50;4;1.80729;71;259200;13000;32;10357;42440;195737;650136;0;0;0;0;0.0;5
DADCA-LKH-Cut;50;16;20.40810;71;259200;13000;35;2649;262825;74264;1300456;6649;14120;1880008;117500;2350000.0;7
TSP-based;50;16;21.28789;71;259200;13000;45;3900;519802;73138;1300248;0;0;0;0;0.0;16
DADCA-LKH;50;4;6.07191;71;259200;13000;27;5662;145744;65924;1300840;393;446;217292;54323;1086460.0;8
FPPWR;50;16;6.61632;71;259200;13000;42;10394;154064;195737;650112;0;0;0;0;0.0;5
TSP-based;50;4;5.29888;71;259200;13000;38;3944;128960;75706;1300424;0;0;0;0;0.0;17
DADCA-NSN;50;2;2.65247;71;259200;13000;25;7497;63742;78526;0;55;63;28214;14107;282140.0;5
DADCA-LKH;50;2;3.15224;71;259200;13000;42;6257;76039;65924;650144;67;72;37809;18904;378080.0;8
DADCA-NSN;50;8;9.97716;71;259200;13000;35;4421;229097;78526;0;1474;1952;663310;82913;1658260.0;5
TSP-based;50;2;2.76219;71;259200;13000;42;3950;66980;75706;1300592;0;0;0;0;0.0;17
DADCA-NSN;50;4;5.10945;71;259200;13000;23;5812;122068;78526;0;311;367;151920;37980;759600.0;5
DADCA-LKH;50;8;11.89614;71;259200;13000;32;4279;279985;65924;650112;1824;2274;983921;122990;2459800.0;8
TSP-based;50;8;10.39205;71;259200;13000;54;3941;253389;75706;1302288;0;0;0;0;0.0;17
DADCA-NSN;50;16;19.69568;71;259200;13000;22;3827;459171;78526;650144;6323;9962;2773806;173362;3467240.0;5
DADCA-Parted-NSN;50;2;2.43048;71;259200;13000;44;5274;59394;85679;0;48;60;13000;6500;130000.0;5
DADCA-Parted-NSN;50;8;9.01879;71;259200;13000;22;2751;128254;85679;0;1326;2323;344118;43014;860280.0;5
DADCA-LKH;50;16;23.52442;71;259200;13000;35;3902;530927;65924;1300360;7734;11194;4053458;253341;5066820.0;8
TSP-based;50;16;20.59753;71;259200;13000;34;3946;502978;75706;1300248;0;0;0;0;0.0;17
DADCA-LKH-Cut;50;4;5.67596;71;259200;13000;31;19981;137482;69244;1301000;355;465;100418;25104;502080.0;8
DADCA-Parted-NSN;50;4;4.62431;71;259200;13000;21;7245;109563;85679;0;280;402;79834;19958;399160.0;5
