Strategy;nUAV;nPOIs;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
DADCA-LKH-Cut;4;16;8.903614300000001;0.0009662499999999994;3450.14;46857.9;6386148.84;581.74;690.75;50443.975;12610.59;252211.8;100.5
DADCA-LKH-Cut;4;32;6.516333899999996;0.0010430833333333342;4737.155;62318.905;6658092.8;413.86;523.64;71881.26;17969.955;359399.1;100.5
DADCA-LKH-Cut;4;48;5.353607900000005;0.001034500000000001;5004.0;73830.785;7068199.56;406.47;515.025;90872.805;22717.82;454356.4;100.5
DADCA-LKH-Cut;4;50;5.231818849999995;0.0005490833333333332;5261.55;75244.52;658113.6;326.49;434.41;92432.805;23107.815;462156.3;100.5
DADCA-LKH-Cut;4;80;4.0850182323232325;0.0011091750841750849;6083.722222222223;92370.57070707071;7369037.939393939;512.8888888888889;618.3030303030303;119385.89393939394;29846.090909090908;596921.8181818182;100.44444444444444
DADCA-LKH-Cut;4;160;2.7112099999999995;0.0011099830795262273;7662.324873096447;126573.538071066;7796500.832487309;177.28426395939087;281.3045685279188;147970.33502538071;36992.22842639594;739844.5685279188;100.35532994923858
DADCA-LKH-Cut;4;250;2.022062397959185;0.0007218537414965989;9087.244897959185;156051.36224489796;749722.7346938775;725.4948979591836;827.8316326530612;157632.9081632653;39407.84693877551;788156.9387755102;99.95408163265306
DADCA-LKH-Cut;4;320;1.702583316326532;0.0010495748299319755;10205.82142857143;175263.54081632654;-14503935.632653061;2039.7857142857142;2144.464285714286;161581.5969387755;40395.005102040814;807900.1020408163;99.95408163265306
DADCA-LKH-Cut;4;500;1.2118238265306118;0.0007050170068027204;13574.591836734693;217407.2857142857;1329685.306122449;141.9234693877551;250.01020408163265;164146.82653061225;41036.34693877551;820726.9387755102;99.95408163265306
DADCA-LKH-Cut;8;16;17.437974849999996;0.000983583333333334;2012.46;46857.9;6050515.32;2721.725;3628.66;247714.45;30963.855;619277.1;100.5
DADCA-LKH-Cut;8;32;12.767952500000003;0.000997083333333334;2902.79;62318.905;6283889.76;2540.46;3448.04;357108.03;44638.03;892760.6;100.5
DADCA-LKH-Cut;8;48;10.4626209;0.0009818333333333343;2858.125;73830.785;6700850.0;2546.64;3446.14;431195.895;53899.035;1077980.7;100.5
DADCA-LKH-Cut;8;50;10.2348305;0.0005375000000000001;2728.145;75244.52;182038.84;1518.665;2414.44;436410.93;54550.9;1091018.0;100.5
DADCA-LKH-Cut;8;80;7.93723818181818;0.0011261784511784516;3369.1161616161617;92370.57070707071;7015928.929292929;3329.242424242424;4216.974747474747;539190.0909090909;67398.30808080808;1347966.1616161617;100.44444444444444
DADCA-LKH-Cut;8;160;5.215713299492386;0.0010967005076142134;5002.106598984771;126573.538071066;7436269.563451776;2812.984771573604;3677.791878172589;695651.5329949239;86956.0;1739120.0;100.35532994923858
DADCA-LKH-Cut;8;250;3.8441217346938776;0.0007052721088435373;6900.40306122449;156051.36224489796;650572.5306122449;3032.1785714285716;3891.7602040816328;796408.8265306122;99550.66326530612;1991013.2653061224;99.95408163265306
