FPPWRMobility;20;4;4.05652%;71;259200;12649;4064MiliSegs;1_TSP_thread;250330;246145;3315;63;38987;90408;1.5650154559137335;4.4869038820993685;map_2.txt
FPPWRMobility;20;8;6.44473%;71;259200;12649;5812MiliSegs;1_TSP_thread;244750;238455;3228;63;61713;90408;2.4863942115340656;7.12849946497688;map_2.txt
FPPWRMobility;20;16;12.60687%;71;259200;12649;12338MiliSegs;1_TSP_thread;230730;218335;3206;63;119766;90408;4.863760526215516;13.944415631305432;map_2.txt
ZigZagOverNSN;20;2;4.48225%;71;259200;12649;4277MiliSegs;1_TSP_thread;254080;242950;2485;24;42928;56045;1.7292643080323113;7.997596728378537;map_2.txt
ZigZagOverNSN;20;4;7.54253%;71;259200;12649;4683MiliSegs;1_TSP_thread;252675;229930;1969;24;71031;56045;2.9099285193758586;13.457997541657999;map_2.txt
ZigZagOverNSN;20;8;12.60629%;71;259200;12649;6363MiliSegs;1_TSP_thread;246345;212185;1934;24;119416;56045;4.86353726089773;22.49315475108737;map_2.txt
ZigZagOverNSN;20;16;24.56559%;71;259200;12649;11787MiliSegs;1_TSP_thread;233195;169350;1671;24;222291;56045;9.477463896509677;43.83189654697669;map_2.txt
FPPWRMobility;800;4;0.26998%;71;259200;12649;107333MiliSegs;1_TSP_thread;258875;257975;17849;4;82965;565668;0.10415792210838841;0.04772717108002269;map_2.txt
FPPWRMobility;800;2;0.22006%;71;259200;12649;109624MiliSegs;1_TSP_thread;258945;258130;16491;4;70212;565668;0.08490035817710652;0.03890298344524705;map_2.txt
FPPWRMobility;800;8;0.24860%;71;259200;12649;129674MiliSegs;1_TSP_thread;258880;258000;17753;4;82412;565668;0.09591198970478876;0.04394872563320047;map_2.txt
FPPWRMobility;800;16;0.38426%;71;259200;12649;154945MiliSegs;1_TSP_thread;258740;257055;19257;4;121372;565668;0.14824817101051557;0.06793017445909197;map_2.txt
ZigZagOverNSN;800;2;0.41238%;71;259200;12649;110947MiliSegs;1_TSP_thread;258620;257460;31031;6;159350;328084;0.15909886545496044;0.1256947181999907;map_2.txt
ZigZagOverNSN;800;8;0.63955%;71;259200;12649;117932MiliSegs;1_TSP_thread;258640;256650;25649;4;192614;328084;0.24673980540790202;0.19493470441023703;map_2.txt
ZigZagOverNSN;800;4;0.55242%;71;259200;12649;125547MiliSegs;1_TSP_thread;258715;257030;23428;4;179187;328084;0.21312628154292224;0.1683786230841048;map_2.txt
ZigZagOverNSN;800;16;1.15770%;71;259200;12649;158814MiliSegs;1_TSP_thread;257930;254640;14389;3939;341197;328084;0.44664226823274056;0.35286596093051276;map_2.txt
FPPWRMobility;20;2;2.26022%;71;259200;12649;3456MiliSegs;1_TSP_thread;254095;252830;3095;596;21709;90924;0.8719999095031253;2.4858384644671383;map_3.txt
FPPWRMobility;20;4;3.98968%;71;259200;12649;4171MiliSegs;1_TSP_thread;250010;248290;2913;596;38544;90924;1.539228311709343;4.38792814213037;map_3.txt
FPPWRMobility;20;8;6.37201%;71;259200;12649;5859MiliSegs;1_TSP_thread;244530;241645;2787;596;61139;90924;2.458337203265507;7.008061711829874;map_3.txt
FPPWRMobility;20;16;12.49633%;71;259200;12649;12585MiliSegs;1_TSP_thread;230185;225100;2777;596;119683;90924;4.821116850518215;13.743714395036749;map_3.txt
ZigZagOverNSN;20;2;4.59192%;71;259200;12649;3815MiliSegs;1_TSP_thread;254215;243205;2312;198;43861;56938;1.7715730857529357;8.064767709212845;map_3.txt
ZigZagOverNSN;20;4;8.25858%;71;259200;12649;5016MiliSegs;1_TSP_thread;253330;229890;1775;197;79149;56938;3.1861821392508767;14.504520891036341;map_3.txt
ZigZagOverNSN;20;8;13.31694%;71;259200;12649;6857MiliSegs;1_TSP_thread;247070;213580;1629;197;124929;56938;5.137707071140068;23.38848700058846;map_3.txt
ZigZagOverNSN;20;16;25.51196%;71;259200;12649;11698MiliSegs;1_TSP_thread;234585;171270;1446;198;228929;56938;9.842577112863893;44.80656130623346;map_3.txt
FPPWRMobility;800;8;0.25243%;71;259200;12649;111781MiliSegs;1_TSP_thread;258900;257940;18685;73;76260;565555;0.09738926189081494;0.044634556642765486;map_3.txt
FPPWRMobility;800;4;0.27374%;71;259200;12649;117708MiliSegs;1_TSP_thread;258880;257915;22063;12925;76493;565555;0.10561100721831577;0.04840267183737647;map_3.txt
FPPWRMobility;800;2;0.22374%;71;259200;12649;118930MiliSegs;1_TSP_thread;258970;258120;25334;73;63993;565555;0.08631902321721313;0.03956094600507757;map_3.txt
FPPWRMobility;800;16;0.39071%;71;259200;12649;141094MiliSegs;1_TSP_thread;258745;257240;18761;73;122195;565555;0.15073571875952593;0.06908381731656359;map_3.txt
ZigZagOverNSN;800;2;0.41828%;71;259200;12649;107839MiliSegs;1_TSP_thread;258650;257265;31698;37;161550;322460;0.16137338087991504;0.12971525250906774;map_3.txt
ZigZagOverNSN;800;8;0.65152%;71;259200;12649;124303MiliSegs;1_TSP_thread;258425;256550;26147;11;172238;322460;0.25135674612530395;0.20204573775252369;map_3.txt
ZigZagOverNSN;800;4;0.56671%;71;259200;12649;129462MiliSegs;1_TSP_thread;258735;256495;24172;12;191862;322460;0.21863721380363074;0.17574510270390464;map_3.txt
ZigZagOverNSN;800;16;1.17801%;71;259200;12649;142620MiliSegs;1_TSP_thread;257810;254625;13756;12;370241;322460;0.45447981115921776;0.36532024763527027;map_3.txt
FPPWRMobility;20;2;2.03617%;71;259200;12649;3425MiliSegs;1_TSP_thread;254660;253350;3386;680;19717;100278;0.7855590206332865;2.0305241244156034;map_4.txt
FPPWRMobility;20;4;3.56308%;71;259200;12649;4201MiliSegs;1_TSP_thread;250995;249425;3243;680;34449;100278;1.3746445616140832;3.553200805464513;map_4.txt
FPPWRMobility;20;8;5.54186%;71;259200;12649;6154MiliSegs;1_TSP_thread;246840;243730;3107;680;53341;100278;2.1380631049001666;5.526495909273451;map_4.txt
FPPWRMobility;20;16;10.83198%;71;259200;12649;13347MiliSegs;1_TSP_thread;234360;229550;3044;680;104141;100278;4.1790057965630245;10.80195359370087;map_4.txt
ZigZagOverNSN;20;2;5.06848%;71;259200;12649;4372MiliSegs;1_TSP_thread;252625;241270;2263;37;48126;49412;1.9554320749504661;10.257589124649089;map_4.txt
ZigZagOverNSN;20;4;8.75019%;71;259200;12649;4832MiliSegs;1_TSP_thread;250865;226470;1929;36;82221;49412;3.3758460267108665;17.70863940183471;map_4.txt
ZigZagOverNSN;20;8;14.49296%;71;259200;12649;5979MiliSegs;1_TSP_thread;244270;205300;1664;36;134150;49412;5.591419407769396;29.330848994046537;map_4.txt
ZigZagOverNSN;20;16;28.53511%;71;259200;12649;11711MiliSegs;1_TSP_thread;220480;158815;1519;36;257254;49412;11.008915132982777;57.74934838640686;map_4.txt
FPPWRMobility;800;4;0.26966%;71;259200;12649;109523MiliSegs;1_TSP_thread;258905;257900;24069;13784;82649;562681;0.10403605645576265;0.04792439380987394;map_4.txt
FPPWRMobility;800;2;0.22063%;71;259200;12649;110030MiliSegs;1_TSP_thread;258955;258170;27381;85;70418;562681;0.08511897213410619;0.039210205386640606;map_4.txt
FPPWRMobility;800;8;0.25219%;71;259200;12649;127989MiliSegs;1_TSP_thread;258880;257955;19665;85;76457;562681;0.09729437413075569;0.0448188258972524;map_4.txt
