Strategy;mapName;nPOIs;nUAV;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy
DADCA-LKH;6;500;4.0;1.2038799999999998;0.31885;22973.0;219.429;10908216.0;66.0;125.0;311847.0;77961.0;1559220.0
DADCA-LKH;7;16;4.0;9.55669;0.0011333333333333334;3698.0;44.794000000000004;7803664.0;621.0;674.0;129132.0;32283.0;645660.0
DADCA-LKH;7;32;4.0;6.728460000000001;0.0012000000000000001;4714.0;61.502;7810416.0;437.0;491.0;150502.0;37625.0;752500.0
DADCA-LKH;7;48;4.0;5.50018;0.0019;5860.0;72.75;9102640.0;347.0;400.0;185795.0;46448.0;928960.0
DADCA-LKH;7;50;4.0;5.34008;0.0005666666666666667;6010.0;74.652;1301264.0;341.0;394.0;186229.0;46557.0;931140.0
DADCA-LKH;7;80;4.0;4.17491;0.00445;7598.0;91.136;9108720.0;263.0;320.0;218101.0;54525.0;1090500.0
DADCA-LKH;7;160;4.0;2.7450799999999997;0.0224;10961.0;126.34700000000001;-11897672.0;173.0;226.0;283748.0;70937.0;1418740.0
DADCA-LKH;7;250;4.0;2.0315;0.009283333333333334;14421.0;156.705;-13463720.0;122.0;179.0;305218.0;76304.0;1526080.0
DADCA-LKH;7;320;4.0;1.7686400000000002;0.0437;16267.0;170.787;3590248.0;97.0;151.0;325080.0;81270.0;1625400.0
DADCA-LKH;7;500;4.0;1.25326;0.19036666666666668;22428.0;212.376;10185320.0;70.0;127.0;317305.0;79326.0;1586520.0
DADCA-LKH;8;16;4.0;11.21226;0.00115;2771.0;38.179;7803944.0;753.0;811.0;136126.0;34031.0;680620.0
DADCA-LKH;8;32;4.0;7.829619999999999;0.0023333333333333335;4337.0;52.875;7810440.0;499.0;552.0;182274.0;45568.0;911360.0
DADCA-LKH;8;48;4.0;6.13438;0.0027;5584.0;65.386;9118592.0;385.0;440.0;211743.0;52935.0;1058700.0
DADCA-LKH;8;50;4.0;6.07191;0.00045000000000000004;5662.0;65.924;1300840.0;393.0;446.0;217292.0;54323.0;1086460.0
DADCA-LKH;8;80;4.0;4.35595;0.0015166666666666668;7171.0;87.638;9763136.0;277.0;330.0;229671.0;57417.0;1148340.0
DADCA-LKH;8;160;4.0;2.7025;0.03271666666666667;10916.0;127.631;-11791416.0;161.0;214.0;268413.0;67103.0;1342060.0
DADCA-LKH;8;250;4.0;2.03064;0.09453333333333334;14072.0;156.622;-12767424.0;163.0;216.0;308673.0;77168.0;1543360.0
DADCA-LKH;8;320;4.0;1.72205;0.03203333333333334;16541.0;174.92000000000002;3626352.0;105.0;158.0;306589.0;76647.0;1532940.0
DADCA-LKH;8;500;4.0;1.2170100000000001;0.10543333333333334;23614.0;217.497;10609064.0;90.0;170.0;290182.0;72545.0;1450900.0
DADCA-LKH;9;16;4.0;10.54929;0.0012833333333333334;2989.0;40.68;7803864.0;682.0;738.0;114866.0;28716.0;574320.0
DADCA-LKH;9;32;4.0;8.15767;0.0013000000000000002;4133.0;50.911;8460648.0;525.0;581.0;193830.0;48457.0;969140.0
DADCA-LKH;9;48;4.0;5.71594;0.00175;5793.0;70.308;8468432.0;362.0;415.0;191327.0;47831.0;956620.0
DADCA-LKH;9;50;4.0;5.66119;0.0005166666666666667;5856.0;70.666;1300376.0;355.0;409.0;197513.0;49378.0;987560.0
DADCA-LKH;9;80;4.0;4.32948;0.011666666666666667;7274.0;88.08;9762792.0;265.0;318.0;230755.0;57688.0;1153760.0
DADCA-LKH;9;160;4.0;2.75716;0.018983333333333335;11523.0;125.361;-11844456.0;172.0;227.0;288438.0;72109.0;1442180.0
DADCA-LKH;9;250;4.0;2.02889;0.08526666666666667;14299.0;156.51500000000001;-12886080.0;119.0;172.0;314055.0;78513.0;1570260.0
DADCA-LKH;9;320;4.0;1.69305;0.045783333333333336;16632.0;176.974;3565312.0;107.0;162.0;312924.0;78231.0;1564620.0
DADCA-LKH;9;500;4.0;1.21296;0.26438333333333336;23464.0;218.09300000000002;10541560.0;70.0;126.0;303832.0;75958.0;1519160.0
DADCA-LKH;10;16;4.0;8.81812;0.0011;3948.0;48.357;7803648.0;570.0;623.0;97963.0;24490.0;489800.0
DADCA-LKH;10;32;4.0;6.6994;0.00165;4323.0;61.527;7810504.0;430.0;483.0;151211.0;37802.0;756040.0
DADCA-LKH;10;48;4.0;5.6287;0.0018333333333333335;5688.0;70.908;9118856.0;363.0;418.0;181123.0;45280.0;905600.0
DADCA-LKH;10;50;4.0;5.38657;0.00055;6041.0;73.758;1300224.0;366.0;445.0;182098.0;45524.0;910480.0
