Strategy;nUAV;nPOIs;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
DADCA-lkh-cutted;4;20;2.691154666666667;71.0;259200.0;13000.0;4787.533333333334;396.2;4.0;259174.5;248413.66666666666;23412.0;7914.833333333333;25701.666666666668;51444.23333333333;1.0382544283931565;5.25438273747314;15.5
DADCA-lkh-cutted;4;200;0.9218263333333334;71.0;259200.0;13000.0;34613.03333333333;3024.266666666667;4.0;259200.0;249860.5;43163.166666666664;12288.9;52040.63333333333;136677.43333333332;0.3556427977188438;0.6752837401593789;15.5
DADCA-lkh-cutted;8;20;4.335673333333333;71.0;259200.0;13000.0;6296.4;400.5;4.0;259081.83333333334;241695.0;22010.6;7239.433333333333;39532.3;51444.23333333333;1.6727136837626377;8.470055158188663;15.5
DADCA-lkh-cutted;8;200;1.3097146666666668;71.0;259200.0;13000.0;38368.23333333333;3027.4666666666667;4.0;259200.0;245376.0;39744.9;11040.7;104056.63333333333;136677.43333333332;0.5052910903444598;0.9595064557389249;15.5
DADCA-lkh-cutted;12;20;6.275241666666668;71.0;259200.0;13000.0;8382.6;395.3333333333333;4.0;258636.33333333334;234280.33333333334;22958.166666666668;10808.2;57803.53333333333;51444.23333333333;2.4210035210429046;12.262782401940894;15.5
DADCA-lkh-cutted;12;200;1.837171666666667;71.0;259200.0;13000.0;43476.86666666667;3076.9333333333334;4.0;259200.0;240187.5;38068.86666666667;15871.933333333332;141847.16666666666;136677.43333333332;0.7087853959873367;1.3458686818170769;15.5
DADCA-lkh-cutted;16;20;8.427254;71.0;259200.0;13000.0;10897.533333333333;390.4;4.0;258451.0;227021.66666666666;21342.033333333333;9395.233333333334;77953.26666666666;51444.23333333333;3.251255296845628;16.463157541441905;15.5
DADCA-lkh-cutted;16;200;2.360819666666666;71.0;259200.0;13000.0;49777.0;3030.9333333333334;4.0;259200.0;234811.83333333334;37276.8;12779.966666666667;192989.8;136677.43333333332;0.9108099956577375;1.729499659528713;15.5
DADCA-lkh-cutted;20;200;2.9476566666666666;71.0;259200.0;13000.0;54260.666666666664;2926.766666666667;4.0;259200.0;228231.66666666666;36531.2;13473.0;242968.13333333333;136677.43333333332;1.1372130594135803;2.1594183665521376;15.5
DADCA-lkh-cutted;24;200;3.6965133333333333;71.0;259200.0;13000.0;63740.0;2933.0333333333333;4.0;259200.0;220791.33333333334;36018.066666666666;13035.433333333332;304049.76666666666;136677.43333333332;1.4261239622628028;2.70798158300364;15.5
DADCA-parted-nsn;4;20;2.617785333333333;71.0;259200.0;13000.0;4468.8;3.8;4.0;259137.83333333334;249347.0;24481.333333333332;9500.4;24664.6;54702.0;1.0099481071864045;4.832673398392542;15.5
DADCA-parted-nsn;4;200;0.5844406666666668;71.0;259200.0;13000.0;31628.533333333333;14.7;4.0;259200.0;247638.33333333334;41180.9;26417.1;37574.4;167006.76666666666;0.22547849726762928;0.35163522620692916;15.5
DADCA-parted-nsn;8;20;4.117168666666667;71.0;259200.0;13000.0;5997.633333333333;4.466666666666667;4.0;259122.16666666666;243192.16666666666;22145.2;8027.6;37688.833333333336;54702.0;1.588413661217802;7.607229866800278;15.5
DADCA-parted-nsn;8;200;0.845037;71.0;259200.0;13000.0;35106.6;14.5;4.0;259200.0;242544.16666666666;40096.933333333334;22180.5;69863.46666666666;167006.76666666666;0.3260173505928343;0.5084142763134526;15.5
DADCA-parted-nsn;12;20;5.885223333333333;71.0;259200.0;13000.0;8085.233333333334;3.7;4.0;259053.66666666666;237131.0;22178.433333333334;10408.3;54470.833333333336;54702.0;2.2705338601204086;10.878304090228031;15.5
DADCA-parted-nsn;12;200;1.1628736666666666;71.0;259200.0;13000.0;40700.1;12.1;4.0;259200.0;236282.16666666666;37731.26666666667;21700.133333333335;92609.83333333333;167006.76666666666;0.4486393765003432;0.6998054793224378;15.5
