Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;20;8;15.29257;10;3750000;3000;54;4;3533145;2889275;302
TSPbasedMobility;20;8;15.69400;10;3750000;3000;69;4;3175115;3151650;302
ZigZagOverNSNMobility;20;4;8.05575;10;3750000;3000;40;4;3603050;3343295;302
KingstonImprovedOverNSNMobility;20;4;7.63114;10;3750000;3000;44;4;3634480;3314080;302
TSPbasedMobility;20;4;7.58619;10;3750000;3000;63;4;3472285;3459975;423
ZigZagOverNSNMobility;20;2;4.03887;10;3750000;3000;33;4;3676790;3548275;302
KingstonImprovedOverNSNMobility;20;2;3.91133;10;3750000;3000;35;4;3690020;3504845;302
TSPbasedMobility;20;2;3.55643;10;3750000;3000;58;4;3619010;3613620;549
ZigZagOverNSNMobility;20;16;30.61621;10;3750000;3000;65;4;3154245;2504260;511
KingstonImprovedOverNSNMobility;20;16;32.20283;10;3750000;3000;84;4;3258615;1983395;511
TSPbasedMobility;20;16;21.11220;10;3750000;3000;78;4;2971730;2939865;954
ZigZagOverNSNMobility;20;8;15.51223;10;3750000;3000;47;4;3455325;3049245;511
KingstonImprovedOverNSNMobility;20;8;16.12747;10;3750000;3000;54;4;3527165;2898670;511
TSPbasedMobility;20;8;13.77003;10;3750000;3000;61;4;3239905;3219540;511
ZigZagOverNSNMobility;20;4;7.81091;10;3750000;3000;39;4;3603245;3399530;511
KingstonImprovedOverNSNMobility;20;4;8.35045;10;3750000;3000;41;4;3629070;3252840;511
TSPbasedMobility;20;4;6.76455;10;3750000;3000;52;4;3500125;3489765;556
KingstonImprovedOverNSNMobility;20;2;3.86195;10;3750000;3000;34;4;3749205;3460110;511
ZigZagOverNSNMobility;20;2;3.91267;10;3750000;3000;35;4;3676720;3574840;511
TSPbasedMobility;20;2;3.29248;10;3750000;3000;46;4;3628775;3622910;511
ZigZagOverNSNMobility;20;16;33.38841;10;3750000;3000;65;4;3096170;1921555;339
KingstonImprovedOverNSNMobility;20;16;34.37393;10;3750000;3000;80;4;3289685;1738465;339
TSPbasedMobility;20;16;29.58905;10;3750000;3000;472;4;2659765;2618460;339
ZigZagOverNSNMobility;20;8;16.86632;10;3750000;3000;48;4;3423165;2840080;338
KingstonImprovedOverNSNMobility;20;8;17.50315;10;3750000;3000;53;4;3523675;2739490;339
TSPbasedMobility;20;8;15.21443;10;3750000;3000;494;4;3191415;3170435;339
ZigZagOverNSNMobility;20;4;8.49873;10;3750000;3000;38;4;3589030;3291175;339
KingstonImprovedOverNSNMobility;20;4;9.15789;10;3750000;3000;40;4;3623620;3164010;339
TSPbasedMobility;20;4;7.40279;10;3750000;3000;515;4;3477575;3465790;339
KingstonImprovedOverNSNMobility;20;2;4.54989;10;3750000;3000;34;4;3749515;3442005;339
ZigZagOverNSNMobility;20;2;4.28197;10;3750000;3000;35;4;3669905;3522065;339
TSPbasedMobility;20;2;3.65442;10;3750000;3000;464;4;3616515;3610055;339
ZigZagOverNSNMobility;20;16;27.11769;10;3750000;3000;62;4;3228095;2685615;617
KingstonImprovedOverNSNMobility;20;16;26.67025;10;3750000;3000;78;4;3399740;2216810;617
TSPbasedMobility;20;16;27.07135;10;3750000;3000;618;4;2755275;2716880;617
ZigZagOverNSNMobility;20;8;13.65617;10;3750000;3000;48;4;3494120;3185715;617
KingstonImprovedOverNSNMobility;20;8;13.62605;10;3750000;3000;57;4;3575125;2980190;617
TSPbasedMobility;20;8;13.53561;10;3750000;3000;642;4;3253735;3233080;617
