TSPConcorde;800;16;2,55625%;71;259200;13000;231987MiliSegs;99032MiliSegs;4_TSP_thread;254305;247945;30839;3;804462;266856;0.9862094222727115;0.9579154384877493;map_2.txt
FPPWRMobility;800;16;0,65554%;71;259200;13000;133135MiliSegs;48MiliSegs;4_TSP_thread;258320;255485;62248;3;152700;565668;0.2529084400839241;0.11588753061823036;map_2.txt
ZigZagOverNSN;800;16;1,84249%;71;259200;13000;127864MiliSegs;209MiliSegs;4_TSP_thread;256970;249585;46705;3;552216;328084;0.7108377004029472;0.5615913361957423;map_2.txt
TSPConcorde;20;4;6,37259%;71;259200;13000;3723MiliSegs;345MiliSegs;4_TSP_thread;243050;242115;5047;780;63716;50098;2.4585604685832934;12.720245787392503;map_3.txt
FPPWRMobility;20;4;3,19271%;71;259200;13000;3379MiliSegs;0MiliSegs;4_TSP_thread;251395;250310;10622;2373;31328;90924;1.2317547582304547;3.511403296526042;map_3.txt
ZigZagOverNSN;20;4;6,16561%;71;259200;13000;3405MiliSegs;0MiliSegs;4_TSP_thread;251490;233020;7873;768;59859;56938;2.378705906588172;10.828630633103627;map_3.txt
TSPConcorde;20;16;25,11998%;71;259200;13000;7585MiliSegs;141MiliSegs;4_TSP_thread;195830;191085;5954;923;247214;49384;9.691352070949549;50.866646217198344;map_3.txt
FPPWRMobility;20;16;12,30392%;71;259200;13000;8775MiliSegs;16MiliSegs;4_TSP_thread;228700;225825;10603;2373;117661;90924;4.746881132354061;13.532088222099475;map_3.txt
ZigZagOverNSN;20;16;23,41879%;71;259200;13000;8227MiliSegs;0MiliSegs;4_TSP_thread;228340;157680;5557;780;227051;56938;9.035026458428595;41.13033225657192;map_3.txt
TSPConcorde;200;4;2,10410%;71;259200;13000;27562MiliSegs;549MiliSegs;4_TSP_thread;254350;253165;14942;336;193431;134088;0.8117666478528445;1.5691927325596422;map_3.txt
FPPWRMobility;200;4;0,40323%;71;259200;13000;26441MiliSegs;31MiliSegs;4_TSP_thread;258680;257225;47287;135;22959;419704;0.15556755234529826;0.09607511381330965;map_3.txt
ZigZagOverNSN;200;4;1,70839%;71;259200;13000;26582MiliSegs;47MiliSegs;4_TSP_thread;257095;251770;21888;133;162816;163661;0.659101544638776;1.0438596878325974;map_3.txt
TSPConcorde;200;16;7,86687%;71;259200;13000;36452MiliSegs;661MiliSegs;4_TSP_thread;240565;236885;14310;133;728759;135104;3.03505756672954;5.822824796425692;map_3.txt
FPPWRMobility;200;16;1,22658%;71;259200;13000;45991MiliSegs;32MiliSegs;4_TSP_thread;257250;252960;47379;135;84439;419704;0.4732182832266435;0.29224924950047176;map_3.txt
ZigZagOverNSN;200;16;6,29445%;71;259200;13000;38885MiliSegs;16MiliSegs;4_TSP_thread;251080;231630;17988;133;567488;163661;2.4284159295934313;3.8460317910230137;map_3.txt
TSPConcorde;800;4;0,76266%;71;259200;13000;111213MiliSegs;7414MiliSegs;4_TSP_thread;257530;256615;30812;156;268423;265577;0.2942376412227553;0.2871724456746562;map_3.txt
FPPWRMobility;800;4;0,23106%;71;259200;13000;102644MiliSegs;62MiliSegs;4_TSP_thread;258845;257950;63751;238;61395;565555;0.08914425975937264;0.04085578260227456;map_3.txt
ZigZagOverNSN;800;4;0,57708%;71;259200;13000;105593MiliSegs;209MiliSegs;4_TSP_thread;258420;255755;56685;35;179406;322460;0.2226383143528027;0.17896126986369304;map_3.txt
TSPConcorde;800;16;2,57278%;71;259200;13000;132262MiliSegs;8646MiliSegs;4_TSP_thread;254240;249850;30806;156;804863;265577;0.9925845773676838;0.968750767023137;map_3.txt
FPPWRMobility;800;16;0,66280%;71;259200;13000;130759MiliSegs;47MiliSegs;4_TSP_thread;258310;255185;63701;238;153115;565555;0.25571041982215065;0.11719486313073256;map_3.txt
ZigZagOverNSN;800;16;1,89563%;71;259200;13000;127404MiliSegs;235MiliSegs;4_TSP_thread;256720;248065;46068;35;476383;322460;0.7313381079365769;0.5878646578712421;map_3.txt
TSPConcorde;20;4;6,28135%;71;259200;13000;3677MiliSegs;298MiliSegs;4_TSP_thread;243560;242215;5874;132;61943;54351;2.423358970145558;11.55700254018746;map_4.txt
FPPWRMobility;20;4;2,83671%;71;259200;13000;3424MiliSegs;0MiliSegs;4_TSP_thread;252155;251230;11753;2706;28318;100278;1.094409376905198;2.8288449160715943;map_4.txt
ZigZagOverNSN;20;4;6,93171%;71;259200;13000;3436MiliSegs;0MiliSegs;4_TSP_thread;250140;238735;7666;120;68911;49412;2.6742719764517613;14.028399908854054;map_4.txt
TSPConcorde;20;16;24,59163%;71;259200;13000;7747MiliSegs;173MiliSegs;4_TSP_thread;197495;193000;5869;132;242489;54351;9.487510835810088;45.245953315338724;map_4.txt
FPPWRMobility;20;16;10,93123%;71;259200;13000;9133MiliSegs;0MiliSegs;4_TSP_thread;232130;228815;11745;2706;103790;100278;4.217295798563479;10.900926135220626;map_4.txt
ZigZagOverNSN;20;16;26,86362%;71;259200;13000;8499MiliSegs;0MiliSegs;4_TSP_thread;222945;178440;5642;132;265724;49412;10.36405047344155;54.36658873787845;map_4.txt
