Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;memory;mapName
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;87;31;4;2;2;-1;0;0;86648;0.0;0.0;-1;18
DADCA-LKH;50;2;0.00000;71;2;13000;285;227;4;2;2;-1;0;0;71050;0.0;0.0;-1;18
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;280;224;4;2;2;-1;0;0;72788;0.0;0.0;-1;18
TSP-based;50;2;0.00000;71;2;13000;2839;2775;4;2;2;-1;0;0;73747;0.0;0.0;-1;19
FPPWR;50;2;0.00000;71;2;13000;169;109;4;2;2;-1;0;0;233936;0.0;0.0;-1;19
DADCA-NSN;50;2;0.00000;71;2;13000;93;34;4;2;2;-1;0;0;86243;0.0;0.0;-1;19
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;91;34;4;2;2;-1;0;0;83850;0.0;0.0;-1;19
DADCA-LKH;50;2;0.00000;71;2;13000;246;189;4;2;2;-1;0;0;73747;0.0;0.0;-1;19
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;254;195;4;2;2;-1;0;0;76635;0.0;0.0;-1;19
TSP-based;50;2;0.00000;71;2;13000;17748;17681;4;2;2;-1;0;0;72711;0.0;0.0;-1;20
FPPWR;50;2;0.00000;71;2;13000;168;112;4;2;2;-1;0;0;204691;0.0;0.0;-1;20
DADCA-NSN;50;2;0.00000;71;2;13000;92;32;4;2;2;-1;0;0;87235;0.0;0.0;-1;20
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;94;32;4;2;2;-1;0;0;82376;0.0;0.0;-1;20
DADCA-LKH;50;2;0.00000;71;2;13000;599;542;4;2;2;-1;0;0;76563;0.0;0.0;-1;20
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;609;544;4;2;2;-1;0;0;76698;0.0;0.0;-1;20
TSP-based;50;2;0.00000;71;2;13000;3968;3903;4;2;2;-1;0;0;77562;0.0;0.0;-1;21
FPPWR;50;2;0.00000;71;2;13000;185;120;4;2;2;-1;0;0;208485;0.0;0.0;-1;21
DADCA-NSN;50;2;0.00000;71;2;13000;86;32;4;2;2;-1;0;0;80105;0.0;0.0;-1;21
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;93;31;4;2;2;-1;0;0;88822;0.0;0.0;-1;21
DADCA-LKH;50;2;0.00000;71;2;13000;400;342;4;2;2;-1;0;0;76921;0.0;0.0;-1;21
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;385;329;4;2;2;-1;0;0;78195;0.0;0.0;-1;21
TSP-based;50;2;0.00000;71;2;13000;2273;2214;4;2;2;-1;0;0;73064;0.0;0.0;-1;22
FPPWR;50;2;0.00000;71;2;13000;167;111;4;2;2;-1;0;0;216175;0.0;0.0;-1;22
DADCA-NSN;50;2;0.00000;71;2;13000;99;31;4;2;2;-1;0;0;77749;0.0;0.0;-1;22
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;91;30;4;2;2;-1;0;0;87675;0.0;0.0;-1;22
DADCA-LKH;50;2;0.00000;71;2;13000;296;223;4;2;2;-1;0;0;73704;0.0;0.0;-1;22
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;265;204;4;2;2;-1;0;0;75966;0.0;0.0;-1;22
TSP-based;50;2;0.00000;71;2;13000;3352;3292;4;2;2;-1;0;0;75301;0.0;0.0;-1;23
FPPWR;50;2;0.00000;71;2;13000;182;127;4;2;2;-1;0;0;221335;0.0;0.0;-1;23
DADCA-NSN;50;2;0.00000;71;2;13000;94;32;4;2;2;-1;0;0;90565;0.0;0.0;-1;23
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;86;31;4;2;2;-1;0;0;88382;0.0;0.0;-1;23
DADCA-LKH;50;2;0.00000;71;2;13000;304;244;4;2;2;-1;0;0;75301;0.0;0.0;-1;23
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;328;257;4;2;2;-1;0;0;76541;0.0;0.0;-1;23
TSP-based;50;2;0.00000;71;2;13000;6676;6613;4;2;2;-1;0;0;73147;0.0;0.0;-1;24
FPPWR;50;2;0.00000;71;2;13000;168;110;4;2;2;-1;0;0;206455;0.0;0.0;-1;24
DADCA-NSN;50;2;0.00000;71;2;13000;96;32;4;2;2;-1;0;0;87591;0.0;0.0;-1;24
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;89;31;4;2;2;-1;0;0;82542;0.0;0.0;-1;24
DADCA-LKH;50;2;0.00000;71;2;13000;626;555;4;2;2;-1;0;0;72874;0.0;0.0;-1;24
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;616;559;4;2;2;-1;0;0;74384;0.0;0.0;-1;24
TSP-based;50;2;0.00000;71;2;13000;5372;5307;4;2;2;-1;0;0;77557;0.0;0.0;-1;25
FPPWR;50;2;0.00000;71;2;13000;180;124;4;2;2;-1;0;0;182916;0.0;0.0;-1;25
DADCA-NSN;50;2;0.00000;71;2;13000;89;31;4;2;2;-1;0;0;79331;0.0;0.0;-1;25
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;89;34;4;2;2;-1;0;0;78071;0.0;0.0;-1;25
DADCA-LKH;50;2;0.00000;71;2;13000;298;227;4;2;2;-1;0;0;77557;0.0;0.0;-1;25
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;301;226;4;2;2;-1;0;0;77442;0.0;0.0;-1;25
TSP-based;50;2;0.00000;71;2;13000;2311;2244;4;2;2;-1;0;0;69018;0.0;0.0;-1;26
FPPWR;50;2;0.00000;71;2;13000;171;110;4;2;2;-1;0;0;160846;0.0;0.0;-1;26
DADCA-NSN;50;2;0.00000;71;2;13000;87;31;4;2;2;-1;0;0;73265;0.0;0.0;-1;26
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;91;31;4;2;2;-1;0;0;80472;0.0;0.0;-1;26
DADCA-LKH;50;2;0.00000;71;2;13000;148;95;4;2;2;-1;0;0;69018;0.0;0.0;-1;26
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;152;97;4;2;2;-1;0;0;65841;0.0;0.0;-1;26
TSP-based;50;2;0.00000;71;2;13000;3028;2956;4;2;2;-1;0;0;73439;0.0;0.0;-1;27
FPPWR;50;2;0.00000;71;2;13000;170;111;4;2;2;-1;0;0;206176;0.0;0.0;-1;27
DADCA-NSN;50;2;0.00000;71;2;13000;88;32;4;2;2;-1;0;0;81855;0.0;0.0;-1;27
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;88;31;4;2;2;-1;0;0;79597;0.0;0.0;-1;27
DADCA-LKH;50;2;0.00000;71;2;13000;274;215;4;2;2;-1;0;0;72378;0.0;0.0;-1;27
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;318;245;4;2;2;-1;0;0;75101;0.0;0.0;-1;27
TSP-based;50;2;0.00000;71;2;13000;3432;3368;4;2;2;-1;0;0;70067;0.0;0.0;-1;28
FPPWR;50;2;0.00000;71;2;13000;172;118;4;2;2;-1;0;0;186817;0.0;0.0;-1;28
DADCA-NSN;50;2;0.00000;71;2;13000;98;32;4;2;2;-1;0;0;81056;0.0;0.0;-1;28
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;99;35;4;2;2;-1;0;0;84986;0.0;0.0;-1;28
DADCA-LKH;50;2;0.00000;71;2;13000;282;226;4;2;2;-1;0;0;70067;0.0;0.0;-1;28
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;309;237;4;2;2;-1;0;0;73030;0.0;0.0;-1;28
TSP-based;50;2;0.00000;71;2;13000;2619;2562;4;2;2;-1;0;0;75423;0.0;0.0;-1;29
FPPWR;50;2;0.00000;71;2;13000;168;110;4;2;2;-1;0;0;216788;0.0;0.0;-1;29
DADCA-NSN;50;2;0.00000;71;2;13000;97;31;4;2;2;-1;0;0;82397;0.0;0.0;-1;29
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;91;32;4;2;2;-1;0;0;87365;0.0;0.0;-1;29
DADCA-LKH;50;2;0.00000;71;2;13000;399;331;4;2;2;-1;0;0;75423;0.0;0.0;-1;29
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;396;331;4;2;2;-1;0;0;74639;0.0;0.0;-1;29
TSP-based;50;2;0.00000;71;2;13000;2231;2172;4;2;2;-1;0;0;68227;0.0;0.0;-1;30
FPPWR;50;2;0.00000;71;2;13000;168;110;4;2;2;-1;0;0;186702;0.0;0.0;-1;30
DADCA-NSN;50;2;0.00000;71;2;13000;86;32;4;2;2;-1;0;0;68920;0.0;0.0;-1;30
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;92;32;4;2;2;-1;0;0;68382;0.0;0.0;-1;30
DADCA-LKH;50;2;0.00000;71;2;13000;239;179;4;2;2;-1;0;0;67769;0.0;0.0;-1;30
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;244;181;4;2;2;-1;0;0;69791;0.0;0.0;-1;30
TSP-based;50;2;0.00000;71;2;13000;5414;5348;4;2;2;-1;0;0;76316;0.0;0.0;-1;31
FPPWR;50;2;0.00000;71;2;13000;160;106;4;2;2;-1;0;0;179066;0.0;0.0;-1;31
DADCA-NSN;50;2;0.00000;71;2;13000;100;33;4;2;2;-1;0;0;86238;0.0;0.0;-1;31
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;101;35;4;2;2;-1;0;0;86131;0.0;0.0;-1;31
DADCA-LKH;50;2;0.00000;71;2;13000;629;550;4;2;2;-1;0;0;76316;0.0;0.0;-1;31
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;627;562;4;2;2;-1;0;0;77800;0.0;0.0;-1;31
TSP-based;50;2;0.00000;71;2;13000;2430;2368;4;2;2;-1;0;0;66414;0.0;0.0;-1;32
FPPWR;50;2;0.00000;71;2;13000;184;115;4;2;2;-1;0;0;209675;0.0;0.0;-1;32
DADCA-NSN;50;2;0.00000;71;2;13000;90;33;4;2;2;-1;0;0;72280;0.0;0.0;-1;32
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;100;35;4;2;2;-1;0;0;79238;0.0;0.0;-1;32
DADCA-LKH;50;2;0.00000;71;2;13000;322;250;4;2;2;-1;0;0;69497;0.0;0.0;-1;32
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;313;250;4;2;2;-1;0;0;71034;0.0;0.0;-1;32
TSP-based;50;2;0.00000;71;2;13000;2437;2374;4;2;2;-1;0;0;69500;0.0;0.0;-1;33
FPPWR;50;2;0.00000;71;2;13000;178;114;4;2;2;-1;0;0;193562;0.0;0.0;-1;33
DADCA-NSN;50;2;0.00000;71;2;13000;104;34;4;2;2;-1;0;0;80305;0.0;0.0;-1;33
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;87;33;4;2;2;-1;0;0;90107;0.0;0.0;-1;33
DADCA-LKH;50;2;0.00000;71;2;13000;155;92;4;2;2;-1;0;0;69500;0.0;0.0;-1;33
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;152;94;4;2;2;-1;0;0;76177;0.0;0.0;-1;33
TSP-based;50;2;0.00000;71;2;13000;6919;6846;4;2;2;-1;0;0;77867;0.0;0.0;-1;34
FPPWR;50;2;0.00000;71;2;13000;173;116;4;2;2;-1;0;0;196366;0.0;0.0;-1;34
DADCA-NSN;50;2;0.00000;71;2;13000;86;32;4;2;2;-1;0;0;86063;0.0;0.0;-1;34
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;95;36;4;2;2;-1;0;0;92805;0.0;0.0;-1;34
DADCA-LKH;50;2;0.00000;71;2;13000;337;277;4;2;2;-1;0;0;77867;0.0;0.0;-1;34
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;334;271;4;2;2;-1;0;0;79102;0.0;0.0;-1;34
