;;;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;memory;memory;memory;memory;memory;memory;memory;memory;mapName;mapName;mapName;mapName;mapName;mapName;mapName;mapName
;;;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max
Strategy;nUAV;nPOIs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DADCA-Parted-NSN;2;50;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0015658333333333338;0.00010634671606569409;0.0014;0.0014833333333333335;0.0015333333333333334;0.0016333333333333334;0.0018333333333333335;100.0;0.0005428333333333328;3.276065294822002e-05;0.0005;0.0005166666666666667;0.0005333333333333334;0.0005833333333333334;0.0006166666666666667;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;86550.33;6682.075388385004;68382.0;82314.0;86180.0;91040.75;103630.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-Parted-NSN;2;100;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0021493333333333312;0.00011042515531819846;0.0019833333333333335;0.0020666666666666667;0.002116666666666667;0.0022;0.0024833333333333335;100.0;0.0009725000000000002;9.512160685031955e-05;0.0006333333333333334;0.0009458333333333334;0.0009666666666666667;0.0010166666666666668;0.0011166666666666666;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;124713.39;7463.967469229562;105634.0;119155.5;125467.5;129644.0;142456.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-Parted-NSN;2;200;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.002316166666666668;0.0001658981439433873;0.0021333333333333334;0.0021666666666666666;0.0022833333333333334;0.002416666666666667;0.0028666666666666667;100.0;0.0009393333333333334;8.128872210331316e-05;0.0008500000000000001;0.0008833333333333334;0.0009000000000000001;0.0009666666666666667;0.0011333333333333334;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;174714.03;7621.405148227875;157150.0;168779.75;174688.0;180050.75;193572.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-Parted-NSN;2;300;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0028610000000000007;0.00021575462015151098;0.0026000000000000003;0.0026833333333333336;0.0028083333333333337;0.00305;0.0036833333333333336;100.0;0.0013061666666666677;0.00012995844540030554;0.0011833333333333333;0.0012166666666666667;0.0012333333333333335;0.0013666666666666666;0.0017833333333333334;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;213366.69;7474.528105364162;193294.0;208123.0;212609.0;218567.25;230876.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-Parted-NSN;2;400;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.003461500000000001;0.00018855726980286568;0.0032333333333333333;0.0033;0.0034333333333333334;0.0035666666666666668;0.0039833333333333335;100.0;0.0017380000000000006;0.00013229986685526723;0.0016166666666666666;0.00165;0.0016666666666666668;0.0017875000000000002;0.0021333333333333334;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;245340.74;7938.603197011171;224609.0;239741.75;246565.0;251072.25;262609.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
DADCA-Parted-NSN;2;500;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.004139666666666668;0.00032102511868044444;0.0034333333333333334;0.003933333333333334;0.004016666666666667;0.004275;0.0049833333333333335;100.0;0.0022605000000000004;0.00024816560444153795;0.00165;0.0021333333333333334;0.0021666666666666666;0.0023541666666666667;0.0030833333333333333;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;272213.39;6692.0345608443595;257562.0;267454.0;271830.5;276816.25;288669.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
FPPWR;2;50;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0028823333333333344;0.00012258486146495242;0.002666666666666667;0.0027958333333333333;0.0028583333333333334;0.0029833333333333335;0.003166666666666667;100.0;0.0018803333333333317;6.903942496701092e-05;0.0017666666666666668;0.0018333333333333335;0.0018666666666666666;0.0019166666666666668;0.002116666666666667;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;206897.64;24426.102355331503;157568.0;192534.0;206048.0;219805.0;294001.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
FPPWR;2;100;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.003491666666666668;0.00011225422086055428;0.0032500000000000003;0.003416666666666667;0.0034833333333333335;0.00355;0.0038666666666666667;100.0;0.0023008333333333327;0.00012227673256429177;0.001966666666666667;0.0022833333333333334;0.0023333333333333335;0.0023666666666666667;0.002666666666666667;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;344314.73;26338.410921998704;284876.0;326681.25;346312.0;363201.25;420562.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
FPPWR;2;200;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.003995500000000001;0.00020167445792891153;0.0037333333333333333;0.00385;0.003966666666666667;0.0041;0.0049833333333333335;100.0;0.002419499999999999;0.00015030935178679964;0.0022833333333333334;0.002316666666666667;0.0023750000000000004;0.0024833333333333335;0.0034833333333333335;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;469428.62;15969.695811085005;419206.0;459104.25;468414.5;481322.5;506472.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
FPPWR;2;300;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.004190333333333332;0.0001585069931931509;0.0039833333333333335;0.004066666666666667;0.00415;0.0043;0.0046500000000000005;100.0;0.0027019999999999995;8.33259255966785e-05;0.0026000000000000003;0.0026333333333333334;0.002666666666666667;0.0027500000000000003;0.0029333333333333334;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;513967.81;12161.593871232004;474892.0;506473.5;514531.5;522414.75;541821.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
FPPWR;2;400;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.004759333333333332;0.0002513300198943855;0.0044666666666666665;0.004533333333333334;0.004691666666666667;0.0049833333333333335;0.005733333333333333;100.0;0.003040333333333335;0.00011114090509634216;0.002916666666666667;0.00295;0.003;0.003116666666666667;0.0033833333333333337;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;539037.72;8512.627512897141;515052.0;532888.75;539825.0;544288.0;558052.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
FPPWR;2;500;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.005223499999999999;0.00024460617927705;0.004966666666666667;0.005050000000000001;0.0051333333333333335;0.0053416666666666664;0.006083333333333334;100.0;0.0033808333333333346;0.00017012201008834304;0.0032333333333333333;0.0032833333333333334;0.003316666666666667;0.003416666666666667;0.004233333333333334;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;554472.44;7192.538715793042;534942.0;550793.0;554648.0;559305.25;570979.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
TSP-based;2;50;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.060282833333333334;0.04497025182418029;0.030533333333333336;0.0411375;0.05103333333333333;0.06164583333333334;0.3795;100.0;0.05922783333333334;0.044966613444457876;0.029566666666666668;0.039966666666666664;0.05003333333333333;0.060583333333333336;0.3784666666666667;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;74057.89;3385.363823889688;66414.0;71648.25;73861.0;76358.0;83003.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
TSP-based;2;100;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.30056416666666674;1.0198481264141626;0.04926666666666667;0.09291250000000001;0.11909166666666668;0.2040875;9.921616666666667;100.0;0.29930733333333337;1.0198505855259048;0.047983333333333336;0.091775;0.11781666666666668;0.20278750000000004;9.920416666666668;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;101596.51;3087.601129885906;92473.0;99544.25;101478.0;103850.25;107627.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
TSP-based;2;200;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;2.7642046666666675;8.000423801804132;0.1726;0.38015;0.6647583333333333;2.0579541666666668;74.96848333333334;100.0;2.7627609999999994;8.00043808488018;0.17115;0.3785791666666667;0.6632750000000001;2.05665;74.96713333333334;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;140155.03;2658.5370263178643;134194.0;138655.75;140089.0;141901.0;146205.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
TSP-based;2;300;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;5.351831833333335;9.108649478276336;0.31145;1.1985208333333335;2.944475;5.106566666666668;63.590300000000006;100.0;5.350269833333333;9.108648147953646;0.31001666666666666;1.1969333333333334;2.9428833333333335;5.1051125;63.58873333333334;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;169730.91;2779.8775174493207;163369.0;167932.0;169733.0;171846.25;175240.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
TSP-based;2;400;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;12.475565000000001;16.074638978437132;0.6602166666666667;2.843683333333334;7.624366666666667;12.937495833333333;108.84328333333333;100.0;12.473806166666668;16.07461839310654;0.6583833333333333;2.8419000000000003;7.6227;12.935737500000002;108.84135;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;194668.19;2822.3740801643994;188376.0;192959.75;194626.5;196999.75;201784.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
TSP-based;2;500;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;24.087933000000003;32.777176076878;0.7430833333333333;6.472295833333334;14.022766666666667;28.467695833333337;178.7606;100.0;24.086044333333337;32.7771541828653;0.7410833333333333;6.470516666666667;14.021016666666668;28.465733333333336;178.75868333333335;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;216921.93;2935.9112854203518;209405.0;214566.0;217107.0;218878.5;223205.0;100.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;100.0;50.5;29.011491975882016;1.0;25.75;50.5;75.25;100.0
