;;;nUAV;nUAV;nUAV;nUAV;nUAV;nUAV;nUAV;nUAV;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;memory;memory;memory;memory;memory;memory;memory;memory
;;;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max
Strategy;mapName;nPOIs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DADCA-LKH;5;200;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.10266666666666667;;0.10266666666666667;0.10266666666666667;0.10266666666666667;0.10266666666666667;0.10266666666666667;1.0;0.10126666666666667;;0.10126666666666667;0.10126666666666667;0.10126666666666667;0.10126666666666667;0.10126666666666667;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;141.934;;141.934;141.934;141.934;141.934;141.934;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;5;300;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.21455000000000002;;0.21455000000000002;0.21455000000000002;0.21455000000000002;0.21455000000000002;0.21455000000000002;1.0;0.2130166666666667;;0.2130166666666667;0.2130166666666667;0.2130166666666667;0.2130166666666667;0.2130166666666667;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;173.196;;173.196;173.196;173.196;173.196;173.196;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;5;400;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.5301333333333333;;0.5301333333333333;0.5301333333333333;0.5301333333333333;0.5301333333333333;0.5301333333333333;1.0;0.5285333333333334;;0.5285333333333334;0.5285333333333334;0.5285333333333334;0.5285333333333334;0.5285333333333334;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;197.793;;197.793;197.793;197.793;197.793;197.793;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;5;500;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.1839;;0.1839;0.1839;0.1839;0.1839;0.1839;1.0;0.18213333333333334;;0.18213333333333334;0.18213333333333334;0.18213333333333334;0.18213333333333334;0.18213333333333334;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;219.566;;219.566;219.566;219.566;219.566;219.566;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;6;50;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0039000000000000003;;0.0039000000000000003;0.0039000000000000003;0.0039000000000000003;0.0039000000000000003;0.0039000000000000003;1.0;0.00285;;0.00285;0.00285;0.00285;0.00285;0.00285;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;68.017;;68.017;68.017;68.017;68.017;68.017;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;6;100;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.01255;;0.01255;0.01255;0.01255;0.01255;0.01255;1.0;0.011483333333333333;;0.011483333333333333;0.011483333333333333;0.011483333333333333;0.011483333333333333;0.011483333333333333;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;95.84400000000001;;95.84400000000001;95.84400000000001;95.84400000000001;95.84400000000001;95.84400000000001;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;6;200;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.04566666666666667;;0.04566666666666667;0.04566666666666667;0.04566666666666667;0.04566666666666667;0.04566666666666667;1.0;0.04435;;0.04435;0.04435;0.04435;0.04435;0.04435;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;138.218;;138.218;138.218;138.218;138.218;138.218;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;6;300;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.30688333333333334;;0.30688333333333334;0.30688333333333334;0.30688333333333334;0.30688333333333334;0.30688333333333334;1.0;0.3054;;0.3054;0.3054;0.3054;0.3054;0.3054;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;169.892;;169.892;169.892;169.892;169.892;169.892;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;6;400;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.2465166666666667;;0.2465166666666667;0.2465166666666667;0.2465166666666667;0.2465166666666667;0.2465166666666667;1.0;0.24491666666666667;;0.24491666666666667;0.24491666666666667;0.24491666666666667;0.24491666666666667;0.24491666666666667;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;195.399;;195.399;195.399;195.399;195.399;195.399;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;6;500;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.4940166666666667;;0.4940166666666667;0.4940166666666667;0.4940166666666667;0.4940166666666667;0.4940166666666667;1.0;0.49200000000000005;;0.49200000000000005;0.49200000000000005;0.49200000000000005;0.49200000000000005;0.49200000000000005;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;218.699;;218.699;218.699;218.699;218.699;218.699;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
